data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,75655274.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-68933702.0
2015-12-31,T4,3.03,Resultado Bruto,6721572.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-3770926.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-2516561.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-1321341.0
2015-12-31,T4,3.04.02.01,Despesas Gerais e Administrativas,-1321341.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,77860.0
2015-12-31,T4,3.04.04.01,"Outros Resultados Operacionais, líquidos",50584.0
2015-12-31,T4,3.04.04.02,Resultado na Venda de Bens,27276.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-10884.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,2950646.0
2015-12-31,T4,3.06,Resultado Financeiro,-703338.0
2015-12-31,T4,3.06.01,Receitas Financeiras,426429.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-1129767.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,2247308.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-734336.0
2015-12-31,T4,3.08.01,Corrente,-719523.0
2015-12-31,T4,3.08.02,Diferido,-14813.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,1512972.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,1512972.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,1503466.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,9506.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,2.7649
2015-12-31,T4,3.99.01.02,PN,0.0
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,2.7433
2015-12-31,T4,3.99.02.02,PN,0.0
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,77352955.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-70342723.0
2016-12-31,T4,3.03,Resultado Bruto,7010232.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-3897046.0
2016-12-31,T4,3.04.01,Despesas com Vendas,-2651501.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-1445859.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,192838.0
2016-12-31,T4,3.04.04.01,"Outros Resultados Operacionais, líquidos",198972.0
2016-12-31,T4,3.04.04.02,Resultado na Venda de Bens,-6134.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,7476.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,3113186.0
2016-12-31,T4,3.06,Resultado Financeiro,-842576.0
2016-12-31,T4,3.06.01,Receitas Financeiras,513243.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-1355819.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,2270610.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-699992.0
2016-12-31,T4,3.08.01,Corrente,-800497.0
2016-12-31,T4,3.08.02,Diferido,100505.0
2016-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,1570618.0
2016-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,1570618.0
2016-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,1561585.0
2016-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,9033.0
2016-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2016-12-31,T4,3.99.01.01,ON,2.8844
2016-12-31,T4,3.99.01.02,PN,0.0
2016-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2016-12-31,T4,3.99.02.01,ON,2.8626
2016-12-31,T4,3.99.02.02,PN,0.0
2017-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,80007422.0
2017-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-72735781.0
2017-12-31,T4,3.03,Resultado Bruto,7271641.0
2017-12-31,T4,3.04,Despesas/Receitas Operacionais,-4384048.0
2017-12-31,T4,3.04.01,Despesas com Vendas,-2885311.0
