cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,17403640.0,18510679.0,19160848.0,20580107.0,19524323.0,19298198.0,19445181.0,19085253.0,18727888.0,19173040.0,20532587.0,21573907.0,20751122.0,22645585.0,23834232.0,23467044.0,20739253.0,21692645.0,23203290.0,23662787.0,21387138.0,15876234.0,20762078.0,23215652.0,23950284.0,28526054.0,31911126.0,25345378.0,31503291.0,36879377.0,39294732.0,35957308.0,30551753.0,29592540.0,32483536.0,33420872.0,30395902.0,32343947.0,35357672.0,35401392.0,33329262.0,34055043.0,37033855.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-15821547.0,-16968005.0,-17510348.0,-18633802.0,-17806080.0,-17604887.0,-17662284.0,-17269472.0,-17040851.0,-17590559.0,-18454915.0,-19649456.0,-19229825.0,-21186536.0,-22209129.0,-21911878.0,-19294673.0,-20286893.0,-21580190.0,-22025353.0,-19977191.0,-14825003.0,-19123322.0,-21702698.0,-22234378.0,-27030286.0,-30112185.0,-25451117.0,-30033612.0,-35027513.0,-37708655.0,-33506477.0,-28839034.0,-27920269.0,-29619258.0,-30351908.0,-28334690.0,-30235855.0,-33075501.0,-32165847.0,-31187631.0,-31907336.0,-34556279.0
3.03,Resultado Bruto,1582093.0,1542674.0,1650500.0,1946305.0,1718243.0,1693311.0,1782897.0,1815781.0,1687037.0,1582481.0,2077672.0,1924451.0,1521297.0,1459049.0,1625103.0,1555166.0,1444580.0,1405752.0,1623100.0,1637434.0,1409947.0,1051231.0,1638756.0,1512954.0,1715906.0,1495768.0,1798941.0,-105739.0,1469679.0,1851864.0,1586077.0,2450831.0,1712719.0,1672271.0,2864278.0,3068964.0,2061212.0,2108092.0,2282171.0,3235545.0,2141631.0,2147707.0,2477576.0
3.04,Despesas/Receitas Operacionais,-831394.0,-938603.0,-960287.0,-1040642.0,-930788.0,-960777.0,-1028007.0,-977474.0,-1009507.0,-1091912.0,-1118835.0,-1163794.0,-1311949.0,-1030913.0,-1071423.0,-861755.0,-1034686.0,-1104130.0,-1012066.0,-1671577.0,-936338.0,-864670.0,-1040227.0,-1003215.0,-1143774.0,-1456402.0,-1236662.0,701342.0,-904736.0,-1028389.0,-1034303.0,-1042090.0,-1034880.0,-1157669.0,-1286141.0,-1261717.0,-1113863.0,-1218495.0,-1167710.0,-1243501.0,-1350609.0,-590336.0,-1044631.0
3.04.02,Despesas Gerais e Administrativas,-287992.0,-309593.0,-337814.0,-385942.0,-321820.0,-356309.0,-369579.0,-398151.0,-362578.0,-389242.0,-408747.0,-415961.0,-372568.0,-397561.0,-407093.0,-448617.0,-383845.0,-415629.0,-445539.0,-481240.0,-409881.0,-293240.0,-373853.0,-459606.0,-468690.0,-473146.0,-497728.0,-26987.0,-338202.0,-408218.0,-388622.0,-399439.0,-453927.0,-469239.0,-549149.0,-545844.0,-440800.0,-513502.0,-420531.0,-497259.0,-518362.0,-539384.0,-569207.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,4600.0,-4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-264953.0,32516.0,21866.0,210571.0,34631.0,11134.0,55177.0,-100942.0,130877.0,50187.0,-30891.0,-150173.0,-65027.0,-97767.0,-86086.0,-100790.0,-166863.0,-136878.0,-174877.0,-35904.0,-133210.0,-205996.0,-170973.0,-92686.0,-137787.0,-88242.0,-111377.0,-76686.0,-86503.0,450056.0,123507.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,-262723.0,34870.0,-2520.0,,36713.0,10107.0,1963.0,,123939.0,36215.0,15016.0,,-65027.0,,,,-166863.0,,,,-133210.0,,,,-137787.0,,,,-86503.0,,
3.04.06,Resultado de Equivalência Patrimonial,-2916.0,3444.0,-5760.0,-5652.0,-3267.0,6308.0,2344.0,2091.0,6428.0,5659.0,4024.0,4562.0,-2981.0,-3396.0,-2806.0,-5596.0,-6970.0,-3078.0,-8247.0,6150.0,-12428.0,-13270.0,-4817.0,-13102.0,-12222.0,1281.0,-11082.0,4389.0,13500.0,7724.0,-11141.0,2098.0,10448.0,1569.0,-303.0,194.0,-3084.0,-9695.0,3720.0,-120616.0,-149486.0,132121.0,-8464.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,750699.0,604071.0,690213.0,905663.0,787455.0,732534.0,754890.0,838307.0,677530.0,490569.0,958837.0,760657.0,209348.0,428136.0,553680.0,693411.0,409894.0,301622.0,611034.0,-34143.0,473609.0,186561.0,598529.0,509739.0,572132.0,39366.0,562279.0,595603.0,564943.0,823475.0,551774.0,1408741.0,677839.0,514602.0,1578137.0,1807247.0,947349.0,889597.0,1114461.0,1992044.0,791022.0,1557371.0,1432945.0
3.06,Resultado Financeiro,-181243.0,-127167.0,-233135.0,-161793.0,-216456.0,-222460.0,-202250.0,-201410.0,-121175.0,-112845.0,-120833.0,-119443.0,-106965.0,-64419.0,-58806.0,116654.0,828.0,-92176.0,-163401.0,-252105.0,-167630.0,-80328.0,-157868.0,136452.0,-333681.0,-2755.0,-296013.0,-130283.0,-424853.0,-498630.0,-324741.0,-220984.0,-311594.0,-216723.0,-300614.0,-170199.0,-282769.0,-205748.0,-108261.0,-335156.0,-179969.0,-31413.0,-401028.0
3.06.01,Receitas Financeiras,103458.0,99702.0,106307.0,116962.0,115129.0,105798.0,120171.0,172145.0,164361.0,136938.0,149966.0,133836.0,112444.0,192155.0,145030.0,231606.0,144149.0,132139.0,125592.0,55409.0,182051.0,53113.0,71649.0,220897.0,63433.0,150578.0,128821.0,117322.0,81344.0,209698.0,176409.0,239238.0,190447.0,186675.0,296143.0,207619.0,160195.0,280585.0,220808.0,219486.0,176890.0,644368.0,373444.0
3.06.02,Despesas Financeiras,-284701.0,-226869.0,-339442.0,-278755.0,-331585.0,-328258.0,-322421.0,-373555.0,-285536.0,-249783.0,-270799.0,-253279.0,-219409.0,-256574.0,-203836.0,-114952.0,-143321.0,-224315.0,-288993.0,-307514.0,-349681.0,-133441.0,-229517.0,-84445.0,-397114.0,-153333.0,-424834.0,-247605.0,-506197.0,-708328.0,-501150.0,-460222.0,-502041.0,-403398.0,-596757.0,-377818.0,-442964.0,-486333.0,-329069.0,-554642.0,-356859.0,-675781.0,-774472.0
3.07,Resultado Antes dos Tributos sobre o Lucro,569456.0,476904.0,457078.0,743870.0,570999.0,510074.0,552640.0,636897.0,556355.0,377724.0,838004.0,641214.0,102383.0,363717.0,494874.0,810065.0,410722.0,209446.0,447633.0,-286248.0,305979.0,106233.0,440661.0,646191.0,238451.0,36611.0,266266.0,465320.0,140090.0,324845.0,227033.0,1187757.0,366245.0,297879.0,1277523.0,1637048.0,664580.0,683849.0,1006200.0,1656888.0,611053.0,1525958.0,1031917.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-182844.0,-145833.0,-158537.0,-247122.0,-183146.0,-142957.0,-172554.0,-201335.0,-186017.0,-130548.0,-282386.0,-240478.0,-29532.0,-123048.0,-171656.0,-314483.0,-168169.0,-88713.0,-140310.0,18583.0,-137113.0,-56205.0,-163360.0,-214689.0,-101021.0,-54854.0,107991.0,-140150.0,-23257.0,72193.0,-46724.0,-343726.0,-92420.0,-59188.0,-386280.0,-523054.0,-209134.0,-192636.0,-307778.0,-776069.0,-247869.0,-354036.0,-257412.0
3.09,Resultado Líquido das Operações Continuadas,386612.0,331071.0,298541.0,496748.0,387853.0,367117.0,380086.0,435562.0,370338.0,247176.0,555618.0,400736.0,72851.0,240669.0,323218.0,495582.0,242553.0,120733.0,307323.0,-267665.0,168866.0,50028.0,277301.0,431502.0,137430.0,-18243.0,374257.0,325170.0,116833.0,397038.0,180309.0,844031.0,273825.0,238691.0,891243.0,1113994.0,455446.0,491213.0,698422.0,880819.0,363184.0,1171922.0,774505.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65264.0,344347.0,62897.0,-97738.0,-7648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21390.0,-2100.0
3.11,Lucro/Prejuízo Consolidado do Período,386612.0,331071.0,298541.0,496748.0,387853.0,367117.0,380086.0,435562.0,370338.0,247176.0,555618.0,400736.0,72851.0,240669.0,323218.0,495582.0,242553.0,120733.0,307323.0,-267665.0,168866.0,50028.0,277301.0,431502.0,137430.0,-18243.0,374257.0,390434.0,461180.0,459935.0,82571.0,836383.0,273825.0,238691.0,891243.0,1113994.0,455446.0,491213.0,698422.0,880819.0,363184.0,1150532.0,772405.0
3.11.01,Atribuído a Sócios da Empresa Controladora,384871.0,328561.0,295884.0,494150.0,385218.0,364160.0,376819.0,435388.0,368170.0,246100.0,555146.0,404890.0,73855.0,241589.0,327334.0,507643.0,233661.0,108601.0,297800.0,-266536.0,160859.0,41066.0,265433.0,426025.0,132163.0,-31080.0,369203.0,380177.0,452252.0,452867.0,73101.0,822619.0,262065.0,213876.0,864854.0,1099000.0,431474.0,437915.0,651582.0,841769.0,332846.0,1088364.0,709188.0
3.11.02,Atribuído a Sócios Não Controladores,1741.0,2510.0,2657.0,2598.0,2635.0,2957.0,3267.0,174.0,2168.0,1076.0,472.0,-4154.0,-1004.0,-920.0,-4116.0,-12061.0,8892.0,12132.0,9523.0,-1129.0,8007.0,8962.0,11868.0,5477.0,5267.0,12837.0,5054.0,10257.0,8928.0,7068.0,9470.0,13764.0,11760.0,24815.0,26389.0,14994.0,23972.0,53298.0,46840.0,39050.0,30338.0,62168.0,63217.0
3.99,Lucro por Ação (Reais/Ação),0.7049,0.6037,0.545,0.9113,0.7116,0.6727,0.696,0.8041,0.6796,0.4542,1.0247,0.7471,0.1363,0.4457,0.6039,0.9364,0.2208,0.0948,0.2746,-0.2464,0.148,0.0377,0.24370282,0.39239718,0.1215,-0.0286,0.3386,0.3484,0.4146,0.4151,0.067,0.7524,0.2393,0.1953,0.78972,1.00288,0.3926,0.3969,0.5902,0.7641,0.3043,1.0001,0.6527
