cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,2680422.0,2676762.0,2424262.0,2404124.0,2040890.0,2028012.0,2265154.0,2120144.0,2350838.0,2569485.0,2737025.0,3076770.0,3244207.0,3204060.0,3861513.0,3427000.0,3531985.0,3694049.0,3849794.0,3872891.0,3807855.0,2424715.0,4381212.0,5474270.0,7065832.0,9596269.0,9025649.0,8049214.0,7844648.0,8531460.0,8434426.0,7659976.0,7255249.0,6887396.0,6714210.0,6781493.0,6222819.0,6349631.0,6817102.0,6480247.0,6857744.0,6626381.0,6604238.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-2436800.0,-2571385.0,-2533957.0,-2470876.0,-2081470.0,-2025315.0,-1999357.0,-1860736.0,-1870099.0,-2187259.0,-2379358.0,-2662308.0,-2632109.0,-2621270.0,-3217184.0,-3051131.0,-3035995.0,-3087584.0,-3373955.0,-3576595.0,-3295002.0,-2145734.0,-3489321.0,-3901465.0,-4602450.0,-5953981.0,-5890273.0,-6015932.0,-6129398.0,-6344153.0,-7430460.0,-6886824.0,-6370461.0,-6304931.0,-6538854.0,-6636272.0,-5823865.0,-6021393.0,-6403416.0,-5961189.0,-6084949.0,-6133190.0,-6157734.0
3.03,Resultado Bruto,243622.0,105377.0,109695.0,-286142.0,40580.0,2697.0,265797.0,178248.0,480739.0,382226.0,357667.0,414462.0,612098.0,582790.0,644329.0,375869.0,495990.0,606465.0,475839.0,296296.0,512853.0,278981.0,891891.0,1572805.0,2463382.0,3642288.0,3135376.0,2033282.0,1715250.0,2187307.0,1003966.0,773152.0,884788.0,582465.0,175356.0,145221.0,398954.0,328238.0,413686.0,519058.0,772795.0,493191.0,446504.0
3.04,Despesas/Receitas Operacionais,-196173.0,-1164929.0,-335605.0,-2105051.0,-227710.0,-259350.0,-272851.0,-50997.0,-258985.0,-300.0,-200090.0,-291849.0,-247336.0,-342394.0,-216220.0,-266865.0,-262976.0,-277364.0,-276599.0,-105140.0,-222330.0,-321018.0,-320395.0,-535678.0,-301118.0,-1182826.0,-864105.0,-2131915.0,-384969.0,-470469.0,-362001.0,-1795815.0,-344341.0,-452008.0,-420010.0,-227965.0,-267907.0,-355817.0,-262512.0,-274124.0,-334352.0,-359613.0,-2516357.0
3.04.02,Despesas Gerais e Administrativas,-122471.0,-107821.0,-101168.0,-108661.0,-89744.0,-86152.0,-87410.0,-90912.0,-93141.0,-96644.0,-106088.0,-108520.0,-102782.0,-112907.0,-101012.0,-123321.0,-100758.0,-109782.0,-97924.0,-118441.0,-109377.0,-96837.0,-98233.0,-122317.0,-115412.0,-109442.0,-115168.0,-163092.0,-130480.0,-147129.0,-140384.0,-170814.0,-139664.0,-148267.0,-165941.0,-180149.0,-152392.0,-165513.0,-164545.0,-168574.0,-181892.0,-192021.0,-184955.0
3.04.05,Outras Despesas Operacionais,-114924.0,-1155964.0,-207072.0,-2104537.0,-241413.0,-247343.0,-271796.0,-312011.0,-271178.0,-258305.0,-272918.0,-364309.0,-234864.0,-313279.0,-270539.0,-872074.0,-207908.0,-275073.0,-423343.0,-267840.0,-68166.0,-232594.0,-231300.0,-423696.0,-263069.0,-361248.0,-695518.0,-81991.0,-150926.0,-264394.0,-230999.0,-1617999.0,-169880.0,-244865.0,-265361.0,-290809.0,-80726.0,-188751.0,-133622.0,-149640.0,-137260.0,-213286.0,-2346416.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,11971.0,33991.0,-4260.0,53880.0,51845.0,36655.0,27047.0,27314.0,37080.0,15278.0,50556.0,51982.0,41154.0,31341.0,74734.0,113121.0,37493.0,36877.0,58258.0,48107.0,15347.0,45494.0,40031.0,58887.0,36704.0,55458.0,72524.0,54102.0,35008.0,56033.0,64553.0,65331.0,45047.0,62138.0,82297.0,79517.0,60787.0,76906.0,80765.0,77397.0,56394.0,83167.0,91216.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,47449.0,-1059552.0,-445300.0,-2171803.0,-268290.0,-256653.0,-7054.0,310405.0,221754.0,381926.0,157577.0,122613.0,364762.0,240396.0,428109.0,109004.0,233014.0,329101.0,199240.0,191156.0,290523.0,-42037.0,571496.0,2108483.0,2162264.0,4825114.0,2271271.0,2231813.0,1330281.0,1716838.0,641965.0,-1022663.0,540447.0,130457.0,-244654.0,373186.0,131047.0,-27579.0,151174.0,244934.0,438443.0,133578.0,-2069853.0
3.06,Resultado Financeiro,-360900.0,-40629.0,-820075.0,-24089.0,101553.0,114621.0,-159277.0,-87053.0,-54581.0,-171294.0,-64961.0,-172084.0,-133774.0,-276578.0,-134391.0,637788.0,-135780.0,-83758.0,-444734.0,154433.0,-857631.0,-281456.0,-167817.0,224412.0,-375741.0,1332266.0,-420020.0,309310.0,501708.0,-248066.0,170885.0,187966.0,193444.0,205472.0,-97815.0,65288.0,-155704.0,-196611.0,55828.0,-298673.0,20276.0,-56023.0,-72297.0
