data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,15718875.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,12130106.0
2015-12-31,T4,6.01.01.01,Lucro liquido do periodo,-45996622.0
2015-12-31,T4,6.01.01.02,Resultado de participações societarias,1506450.0
2015-12-31,T4,6.01.01.03,Resultado venda ativos,-348271.0
2015-12-31,T4,6.01.01.04,"Depreciação, amortização e exaustão",13489011.0
2015-12-31,T4,6.01.01.05,IR e CS diferidos,-20226375.0
2015-12-31,T4,6.01.01.06,Var. monetaria e cambiais liquidas,24363983.0
2015-12-31,T4,6.01.01.07,Baixa na alienação de bens,-427043.0
2015-12-31,T4,6.01.01.08,Perdas (ganhos) liquidos não realizadas derivativos,5796420.0
2015-12-31,T4,6.01.01.09,Redução valor recup ativos,36279489.0
2015-12-31,T4,6.01.01.10,Outros,-2306936.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,3588769.0
2015-12-31,T4,6.01.02.01,Contas a receber de clientes,5237245.0
2015-12-31,T4,6.01.02.02,Estoques,-1017775.0
2015-12-31,T4,6.01.02.03,Contas a pagar fornecedores,2428565.0
2015-12-31,T4,6.01.02.04,Salários e encargos sociais,-1779539.0
2015-12-31,T4,6.01.02.05,Tributos sobre o lucro,-278107.0
2015-12-31,T4,6.01.02.06,Outros tributos ativos e passivos,-801919.0
2015-12-31,T4,6.01.02.07,Outros ativos e passivos,-199701.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-20116959.0
2015-12-31,T4,6.02.01,Dividendos/JCP recebidos,1063685.0
2015-12-31,T4,6.02.02,Empréstimos e adiantamentos a receber,-34299.0
2015-12-31,T4,6.02.03,Depósitos e garantias,-237804.0
2015-12-31,T4,6.02.04,Adições em investimentos,-186248.0
2015-12-31,T4,6.02.05,Adições ao imobilizado,-27784212.0
2015-12-31,T4,6.02.06,Recursos recebidos alienação invest/imobilizado,5211149.0
2015-12-31,T4,6.02.07,Caixa liquido aquisição subsidiárias,-237033.0
2015-12-31,T4,6.02.08,Investimentos de curto prazo,932276.0
2015-12-31,T4,6.02.09,Recursos provenientes Operação do ouro,1155527.0
2015-12-31,T4,6.02.10,Atividades investimentos descontinuadas,0.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,5250018.0
2015-12-31,T4,6.03.01,Emprestimos adições,16603278.0
2015-12-31,T4,6.03.02,Emprestimos baixas,-10155846.0
2015-12-31,T4,6.03.03,Emprestimos captados a longo prazo,0.0
2015-12-31,T4,6.03.04,Emissão títulos conv ações pref,0.0
2015-12-31,T4,6.03.05,Emissão títulos conv ações ord,0.0
2015-12-31,T4,6.03.06,Pagamentos instituições financeiras,0.0
2015-12-31,T4,6.03.07,JCP e dividendos pagos e acionistas,-5072360.0
2015-12-31,T4,6.03.08,Ações em tesouraria,0.0
2015-12-31,T4,6.03.09,Aumento de capital,0.0
2015-12-31,T4,6.03.10,Transações com acionistas não controladores,3874946.0
2015-12-31,T4,6.03.11,Atividades financiamento descontinuadas,0.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,2614429.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,3466363.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,10555341.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,14021704.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,21634643.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,39754553.0
2016-12-31,T4,6.01.01.01,Lucro liquido antes dos tributos sobre o lucro,27021956.0
2016-12-31,T4,6.01.01.02,Resultado de equivalencia patrimonial,-1111015.0
2016-12-31,T4,6.01.01.03,Resultado na mensuração ou venda de ativos não circulantes,-253869.0
2016-12-31,T4,6.01.01.04,Resultado de alienação ou baixa de participação em coligadas e joint ventures,4352965.0
2016-12-31,T4,6.01.01.05,Resultado na alienação de bens do imobilizado e intangível,3939540.0
2016-12-31,T4,6.01.01.06,"Depreciação, amortização e exaustão",12106862.0
2016-12-31,T4,6.01.01.07,"Resultado financeiro, líquido",-6301886.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-4023452.0
2016-12-31,T4,6.01.02.01,Contas a receber,-9862996.0
2016-12-31,T4,6.01.02.02,Estoques,615404.0
2016-12-31,T4,6.01.02.03,Contas a pagar a fornecedores e empreiteiros,769126.0
2016-12-31,T4,6.01.02.04,Salários e encargos sociais,434780.0
2016-12-31,T4,6.01.02.05,"Outros tributos ativos e passivos, líquidos",-371533.0
2016-12-31,T4,6.01.02.06,Receita diferida - Fluxo de ouro,1683146.0
2016-12-31,T4,6.01.02.07,"Outros ativos e passivos, líquidos",2708621.0
2016-12-31,T4,6.01.03,Outros,-14096458.0
2016-12-31,T4,6.01.03.01,Dividendos e juros sobre capital próprio recebidos de controladas,0.0
2016-12-31,T4,6.01.03.02,"Juros de empréstimos e financiamentos recebidos (pagos) com parte relacionadas, líquidos",0.0
2016-12-31,T4,6.01.03.03,Juros de empréstimos e financiamentos pagos,-5893877.0
2016-12-31,T4,6.01.03.04,"Derivativos recebidos (pagos), líquidos",-5604271.0
2016-12-31,T4,6.01.03.05,Remunerações pagas às debentures participativas,-268078.0
2016-12-31,T4,6.01.03.06,Tributos sobre o lucro,-1401406.0
2016-12-31,T4,6.01.03.07,Tributos sobre o lucro - Programa de refinanciamento,-1426443.0
2016-12-31,T4,6.01.03.08,Operações descontinuadas,497617.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-16639098.0
2016-12-31,T4,6.02.01,Investimentos a Curto Prazo,44692.0
2016-12-31,T4,6.02.02,Empréstimos e Adiantamentos concedidos,-698243.0
2016-12-31,T4,6.02.03,Depósitos e garantias,-141384.0
2016-12-31,T4,6.02.04,Adições em Investimentos,-875041.0
2016-12-31,T4,6.02.05,Adições ao Imobilizado,-17343357.0
2016-12-31,T4,6.02.06,Recursos Provenientes na Alienação de Ativos,1785858.0
2016-12-31,T4,6.02.07,Recursos Provenientes Operação do Ouro,884583.0
2016-12-31,T4,6.02.08,Dividendos/JCP Recebidos,669470.0
2016-12-31,T4,6.02.09,Aquisição de subsidiária,0.0
2016-12-31,T4,6.02.10,Operações Descontinuadas,-965676.0
2016-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-2919451.0
2016-12-31,T4,6.03.01,Empréstimos e Financiamentos - Adições,25666875.0
2016-12-31,T4,6.03.02,Empréstimos e Financiamentos - Baixas,-26629503.0
2016-12-31,T4,6.03.03,Transações com Acionistas Não Controladores,-68595.0
2016-12-31,T4,6.03.04,Dividendos/JCP Pagos a Acionistas,-1829400.0
2016-12-31,T4,6.03.05,Operações Descontinuadas,-58828.0
2016-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,-2207207.0
2016-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-131113.0
2016-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,14021704.0
2016-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,13890591.0
2017-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,40240693.0
2017-12-31,T4,6.01.01,Caixa Gerado nas Operações,47687901.0
