cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,18026613.0,21441071.0,23350148.0,22681352.0,22067358.0,23202406.0,23772495.0,25591005.0,26742046.0,23362809.0,28600029.0,29827138.0,27932425.0,31233137.0,37862399.0,37455165.0,30951589.0,36004956.0,40664666.0,41018710.0,31250932.0,40433835.0,57905744.0,78938248.0,69301185.0,87846821.0,66260715.0,70115279.0,56719000.0,54974000.0,52080000.0,62735000.0,43841000.0,47758000.0,51962000.0,64505000.0,41891000.0,51735000.0,52978000.0,59401000.0,47411000.0,49807000.0,56701000.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-14988204.0,-15967647.0,-18024690.0,-19677193.0,-16466945.0,-16790837.0,-16082354.0,-11803294.0,-14865132.0,-16461959.0,-17098918.0,-18831302.0,-16970343.0,-19462362.0,-22827339.0,-21940860.0,-17749930.0,-20282097.0,-22627536.0,-23176000.0,-19214588.0,-22667065.0,-25893133.0,-30792708.0,-25397181.0,-30574616.0,-30533593.0,-30761610.0,-24174000.0,-29377000.0,-33043000.0,210789000.0,-25724000.0,-29356000.0,-30851000.0,-34085000.0,-26594000.0,-33134000.0,-34827000.0,-36763000.0,-31811000.0,-34421000.0,-36077000.0
3.03,Resultado Bruto,3038409.0,5473424.0,5325458.0,3004159.0,5600413.0,6411569.0,7690141.0,13787711.0,11876914.0,6900850.0,11501111.0,10995836.0,10962082.0,11770775.0,15035060.0,15514305.0,13201659.0,15722859.0,18037130.0,17842710.0,12036344.0,17766770.0,32012611.0,48145540.0,43904004.0,57272205.0,35727121.0,39353670.0,32545000.0,25597000.0,19037000.0,25134000.0,18117000.0,18402000.0,21111000.0,30420000.0,15297000.0,18601000.0,18151000.0,22638000.0,15600000.0,15386000.0,20624000.0
3.04,Despesas/Receitas Operacionais,-1701557.0,-1535711.0,-3644043.0,-38297278.0,-642096.0,-5305576.0,-1055538.0,-1413890.0,431510.0,-2158243.0,-1685912.0,-3328388.0,-1106622.0,-2764673.0,-2018031.0,-4217152.0,-19602450.0,-11447556.0,-3153515.0,-28361062.0,-4014680.0,-9445422.0,-5302259.0,-39131286.0,-3588680.0,-8284144.0,-15128875.0,-7920301.0,2974000.0,-4752000.0,-3795000.0,-6414000.0,-3446000.0,-4194000.0,-4612000.0,-10526000.0,-2571000.0,2362000.0,-937000.0,-18082000.0,-4714000.0,-4403000.0,-4540000.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,1336852.0,3937713.0,1681415.0,-35293119.0,4958317.0,1105993.0,6634603.0,12373821.0,12308424.0,4742607.0,9815199.0,7667448.0,9855460.0,9006102.0,13017029.0,11297153.0,-6400791.0,4275303.0,14883615.0,-10518352.0,8021664.0,8321348.0,26710352.0,9014254.0,40315324.0,48988061.0,20598246.0,31433369.0,35519000.0,20845000.0,15242000.0,18720000.0,14671000.0,14208000.0,16499000.0,19894000.0,12726000.0,20963000.0,17214000.0,4556000.0,10886000.0,10983000.0,16084000.0
3.06,Resultado Financeiro,-13678042.0,1624277.0,-25847358.0,1362688.0,4772280.0,7073637.0,-3413924.0,-6482771.0,-1893813.0,-4339850.0,752981.0,-4168848.0,-2071260.0,-10929894.0,-4958021.0,-98344.0,-2588908.0,-2835724.0,-4555344.0,-3464810.0,-10486807.0,-2589407.0,-7380568.0,-3683848.0,-176360.0,1861094.0,-1938626.0,18065892.0,-1376000.0,4027000.0,12167000.0,-3440000.0,-2774000.0,-714000.0,-1917000.0,-4313000.0,-2179000.0,-6614000.0,-2072000.0,-10370000.0,1182000.0,1004000.0,-1857000.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-12341190.0,5561990.0,-24165943.0,-33930431.0,9730597.0,8179630.0,3220679.0,5891050.0,10414611.0,402757.0,10568180.0,3498600.0,7784200.0,-1923792.0,8059008.0,11198809.0,-8989699.0,1439579.0,10328271.0,-13983162.0,-2465143.0,5731941.0,19329784.0,5330406.0,40138964.0,50849155.0,18659619.0,49499262.0,34143000.0,24872000.0,27409000.0,15280000.0,11897000.0,13494000.0,14582000.0,15581000.0,10547000.0,14349000.0,15142000.0,-5814000.0,12068000.0,11987000.0,14227000.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,2649524.0,-561094.0,17077458.0,-286936.0,-3402756.0,-4540226.0,-1355116.0,-267982.0,-2215819.0,155336.0,-3060978.0,514894.0,-2339310.0,2294377.0,-2451354.0,3462267.0,2444083.0,-1858450.0,-3866993.0,5790331.0,3102086.0,-854830.0,-4257554.0,-1014349.0,-9949985.0,-11017271.0,1914562.0,-6267306.0,-10986000.0,-4399000.0,-4181000.0,4381000.0,-2163000.0,-8742000.0,-616000.0,-3479000.0,-2215000.0,237000.0,-1871000.0,56000.0,-3895000.0,200000.0,444000.0
3.09,Resultado Líquido das Operações Continuadas,-9691666.0,5000896.0,-7088485.0,-34217367.0,6327841.0,3639404.0,1865563.0,5623068.0,8198792.0,558093.0,7507202.0,4013494.0,5444890.0,370585.0,5607654.0,14661076.0,-6545616.0,-418871.0,6461278.0,-8192831.0,636943.0,4877111.0,15072230.0,4316057.0,30188979.0,39831884.0,20574181.0,43231956.0,23157000.0,20473000.0,23228000.0,19661000.0,9734000.0,4752000.0,13966000.0,12102000.0,8332000.0,14586000.0,13271000.0,-5758000.0,8173000.0,12187000.0,14671000.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4159380.0,-257100.0,-388105.0,-337431.0,-1624953.0,-270909.0,-39091.0,0.0,-437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12484000.0,6000.0,9812000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
