cd_conta,conta,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,2023432.000,2299657.000,2635185.000,3253930.000,3053849.000,3165360.000,3586975.000,3496205.000,4225479.000,4717773.000,5105363.000,7252307.000,10185525.000,10881120.000,12649962.000,15332220.000,16675416.000,18090993.000,18384449.000,19219164.000,20808826.000,22334961.000,22657784.000,24892026.000,20277027.000,22404556.000,22443444.000,23021635.000
1.01,Ativo Circulante,450198.000,556195.000,602280.000,1211762.000,1013084.000,952061.000,1216887.000,959469.000,1291898.000,1476552.000,1182643.000,2865625.000,4868367.000,4269402.000,4430810.000,5204545.000,4190099.000,5246267.000,4769384.000,5600509.000,5957885.000,6218614.000,5992064.000,8007900.000,4144511.000,5914815.000,5867397.000,6631101.000
1.01.01,Caixa e Equivalentes de Caixa,58605.000,67079.000,88715.000,445845.000,322830.000,48878.000,71062.000,7384.000,18405.000,34858.000,38620.000,55875.000,153161.000,284390.000,96152.000,83707.000,84498.000,1257408.000,187977.000,385138.000,97768.000,265779.000,240149.000,268490.000,152938.000,75609.000,104067.000,147230.000
1.01.02,Aplicações Financeiras,7253.000,7651.000,7788.000,250049.000,176427.000,315021.000,541110.000,415469.000,760905.000,772318.000,294845.000,1849184.000,3671780.000,2736677.000,2666786.000,3052804.000,1638513.000,1032283.000,1155052.000,1278258.000,2196244.000,2182207.000,1847373.000,3894526.000,2635290.000,4406308.000,3963868.000,4450335.000
1.01.03,Contas a Receber,155157.000,198638.000,219354.000,224687.000,223481.000,248915.000,268676.000,286429.000,267478.000,404327.000,473436.000,571182.000,526487.000,610510.000,860811.000,1023033.000,1155403.000,1523161.000,1597981.000,1570664.000,982814.000,1081401.000,932200.000,839340.000,540228.000,574303.000,800255.000,999089.000
1.01.04,Estoques,101930.000,118479.000,124570.000,112742.000,140272.000,156353.000,151401.000,92982.000,88963.000,140749.000,210276.000,237017.000,332518.000,378542.000,487397.000,553998.000,763582.000,784060.000,1013863.000,1399171.000,1650613.000,1545852.000,1572849.000,1597468.000,103894.000,94039.000,91461.000,120274.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,29281.000,33876.000,31120.000,40738.000,37323.000,37790.000,40121.000,42348.000,49275.000,53284.000,72195.000,77866.000,99140.000,134101.000,177188.000,197208.000,266413.000,290134.000,327972.000,389780.000,479008.000,472277.000,490861.000,436476.000,227839.000,255417.000,323986.000,316197.000
1.01.07,Despesas Antecipadas,7505.000,18356.000,30666.000,23426.000,17450.000,32807.000,34035.000,32652.000,27536.000,24034.000,26423.000,21914.000,15072.000,32879.000,12258.000,40243.000,25722.000,73495.000,65703.000,39660.000,18015.000,90181.000,87941.000,71312.000,13526.000,68209.000,55211.000,37432.000
1.01.08,Outros Ativos Circulantes,90467.000,112116.000,100067.000,114275.000,95301.000,112297.000,110482.000,82205.000,79336.000,46982.000,66848.000,52587.000,70209.000,92303.000,130218.000,253552.000,255968.000,285726.000,420836.000,537838.000,533423.000,580917.000,820691.000,900288.000,470796.000,440930.000,528549.000,560544.000
1.02,Ativo Não Circulante,1573234.000,1743462.000,2032905.000,2042168.000,2040765.000,2213299.000,2370088.000,2536736.000,2933581.000,3241221.000,3922720.000,4386682.000,5317158.000,6611718.000,8219152.000,10127675.000,12485317.000,12844726.000,13615065.000,13618655.000,14850941.000,16116347.000,16665720.000,16884126.000,16132516.000,16489741.000,16576047.000,16390534.000
1.02.01,Ativo Realizável a Longo Prazo,58656.000,64128.000,63429.000,71137.000,62980.000,64604.000,79693.000,140627.000,164853.000,176802.000,170217.000,101972.000,123356.000,133594.000,164623.000,233631.000,234482.000,246814.000,515107.000,347572.000,963081.000,920627.000,821881.000,854691.000,283078.000,282028.000,355997.000,241078.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9201.000
1.02.03,Imobilizado,1349441.000,1515618.000,1807006.000,1809789.000,1819615.000,1991381.000,2134059.000,2240581.000,2611759.000,2908126.000,3541785.000,4078082.000,4990944.000,6276985.000,7737903.000,9634199.000,12002386.000,12351728.000,12600087.000,12705914.000,13381557.000,14694811.000,15350112.000,15541400.000,15669649.000,16029484.000,16041820.000,15962512.000
1.02.04,Intangível,165137.000,163716.000,162470.000,161242.000,158170.000,157314.000,156336.000,155528.000,156969.000,156293.000,210718.000,206628.000,202858.000,201139.000,316626.000,259845.000,248449.000,246184.000,499871.000,565169.000,506303.000,500909.000,493727.000,488035.000,179789.000,178229.000,178230.000,177743.000
