data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-03-31,T1,2,Passivo Total,2299657.0
2019-03-31,T1,2.01,Passivo Circulante,787396.0
2019-03-31,T1,2.01.01,Obrigações Sociais e Trabalhistas,13324.0
2019-03-31,T1,2.01.01.01,Obrigações Sociais,0.0
2019-03-31,T1,2.01.01.02,Obrigações Trabalhistas,13324.0
2019-03-31,T1,2.01.02,Fornecedores,204672.0
2019-03-31,T1,2.01.02.01,Fornecedores Nacionais,204672.0
2019-03-31,T1,2.01.02.01.01,Fornecedores,138671.0
2019-03-31,T1,2.01.02.01.02,Floor Plan,66001.0
2019-03-31,T1,2.01.02.02,Fornecedores Estrangeiros,0.0
2019-03-31,T1,2.01.03,Obrigações Fiscais,12112.0
2019-03-31,T1,2.01.03.01,Obrigações Fiscais Federais,12112.0
2019-03-31,T1,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,2841.0
2019-03-31,T1,2.01.03.01.02,Tributos a recolher,9271.0
2019-03-31,T1,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2019-03-31,T1,2.01.03.03,Obrigações Fiscais Municipais,0.0
2019-03-31,T1,2.01.04,Empréstimos e Financiamentos,203100.0
2019-03-31,T1,2.01.04.01,Empréstimos e Financiamentos,203100.0
2019-03-31,T1,2.01.04.01.01,Em Moeda Nacional,203100.0
2019-03-31,T1,2.01.04.01.02,Em Moeda Estrangeira,0.0
2019-03-31,T1,2.01.04.02,Debêntures,0.0
2019-03-31,T1,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2019-03-31,T1,2.01.05,Outras Obrigações,354188.0
2019-03-31,T1,2.01.05.01,Passivos com Partes Relacionadas,0.0
2019-03-31,T1,2.01.05.01.01,Débitos com Coligadas,0.0
2019-03-31,T1,2.01.05.01.03,Débitos com Controladores,0.0
2019-03-31,T1,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2019-03-31,T1,2.01.05.02,Outros,354188.0
2019-03-31,T1,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2019-03-31,T1,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2019-03-31,T1,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2019-03-31,T1,2.01.05.02.04,Arrendamento mercantil a pagar,11174.0
2019-03-31,T1,2.01.05.02.05,Arrendamento por direito de uso,6290.0
2019-03-31,T1,2.01.05.02.06,Adiantamentos de clientes,57525.0
2019-03-31,T1,2.01.05.02.07,Dividendos e juros sobre capital próprio a pagar,211375.0
2019-03-31,T1,2.01.05.02.08,Obrigações a pagar por aquisição de empresas,17340.0
2019-03-31,T1,2.01.05.02.09,Outras contas a pagar,44441.0
2019-03-31,T1,2.01.05.02.10,Cessão de direitos creditórios,6043.0
2019-03-31,T1,2.01.06,Provisões,0.0
2019-03-31,T1,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2019-03-31,T1,2.01.06.01.01,Provisões Fiscais,0.0
2019-03-31,T1,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2019-03-31,T1,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2019-03-31,T1,2.01.06.01.04,Provisões Cíveis,0.0
2019-03-31,T1,2.01.06.02,Outras Provisões,0.0
2019-03-31,T1,2.01.06.02.01,Provisões para Garantias,0.0
2019-03-31,T1,2.01.06.02.02,Provisões para Reestruturação,0.0
2019-03-31,T1,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2019-03-31,T1,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2019-03-31,T1,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
