cd_conta,conta,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2023432.000,2299657.000,2635185.000,3253930.000,3053849.000,3165360.000,3586975.000,3496205.000,4225479.000,4717773.000,5105363.000,7252307.000,10185525.000,10881120.000,12649962.000,15332220.000,16675416.000,18090993.000,18384449.000,19219164.000,20808826.000,22334961.000,22657784.000,24892026.000,20277027.000,22404556.000,22443444.000,23021635.000
2.01,Passivo Circulante,524196.000,787396.000,938530.000,1006886.000,681340.000,505480.000,473488.000,477554.000,1000131.000,755723.000,1024606.000,985916.000,1189725.000,1672769.000,2161128.000,3022283.000,4325800.000,3471267.000,2388882.000,2761245.000,3412501.000,4636030.000,4558028.000,4491871.000,2729224.000,3186577.000,3264131.000,3428292.000
2.01.01,Obrigações Sociais e Trabalhistas,11696.000,13324.000,13451.000,16409.000,14981.000,17181.000,18424.000,22120.000,19727.000,23643.000,30636.000,39482.000,34291.000,39247.000,45583.000,67048.000,66228.000,76998.000,83852.000,99111.000,72819.000,61358.000,76871.000,82398.000,34818.000,42166.000,49310.000,54557.000
2.01.02,Fornecedores,136375.000,204672.000,266079.000,183822.000,177914.000,235511.000,202267.000,237053.000,545790.000,524357.000,706883.000,634298.000,768736.000,1130841.000,1590535.000,1789734.000,2912622.000,1677608.000,771105.000,924096.000,1214953.000,1638967.000,1832163.000,1738015.000,650291.000,990748.000,708555.000,778826.000
2.01.03,Obrigações Fiscais,6508.000,12112.000,12019.000,21763.000,383.000,17256.000,15362.000,1581.000,10875.000,13374.000,24649.000,24828.000,24316.000,21665.000,39849.000,34864.000,61400.000,25299.000,20082.000,29472.000,43224.000,45024.000,46405.000,62138.000,24502.000,17263.000,20669.000,20425.000
2.01.04,Empréstimos e Financiamentos,188221.000,203100.000,281058.000,469749.000,414946.000,183712.000,161058.000,105962.000,323508.000,102436.000,94309.000,109838.000,216868.000,300080.000,294787.000,631310.000,559933.000,721108.000,659231.000,976167.000,881625.000,1572930.000,1673122.000,1495110.000,957302.000,1207481.000,1492285.000,1714687.000
2.01.05,Outras Obrigações,181396.000,354188.000,365923.000,315143.000,73116.000,51820.000,76377.000,110838.000,100231.000,91913.000,168129.000,177470.000,145514.000,180936.000,190374.000,499327.000,725617.000,970254.000,854612.000,732399.000,1199880.000,1317751.000,929467.000,1114210.000,1062311.000,928919.000,993312.000,859797.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,917753.000,1048553.000,1207474.000,1721299.000,1881755.000,2133170.000,2544265.000,2506353.000,2719110.000,2533427.000,2543800.000,3537887.000,6355614.000,6458453.000,7608799.000,8654176.000,8710728.000,10817801.000,12083454.000,11579138.000,12661030.000,12809053.000,13076228.000,15200803.000,15105430.000,16729734.000,16575089.000,16962748.000
2.02.01,Empréstimos e Financiamentos,698229.000,783937.000,959497.000,1402399.000,1655894.000,1976303.000,2381038.000,2286956.000,2541138.000,2344465.000,2300992.000,3119478.000,5871257.000,5815575.000,6906792.000,6813730.000,6923255.000,8696821.000,9849935.000,9439133.000,10835383.000,11083714.000,11522840.000,13700042.000,13535863.000,15171540.000,14992140.000,14792410.000
2.02.02,Outras Obrigações,79785.000,120479.000,98236.000,177614.000,71281.000,0.000,0.000,64840.000,0.000,10327.000,0.000,121904.000,169770.000,279313.000,319810.000,408581.000,399450.000,341648.000,371050.000,385223.000,1315571.000,228775.000,223422.000,786981.000,153046.000,205086.000,274171.000,313647.000
2.02.03,Tributos Diferidos,136459.000,140904.000,146349.000,137765.000,151365.000,134044.000,141572.000,150952.000,168457.000,170600.000,202952.000,230493.000,263385.000,293472.000,320173.000,346136.000,327078.000,363543.000,378756.000,381642.000,397080.000,470735.000,526775.000,596851.000,862041.000,898032.000,945162.000,943749.000
2.02.04,Provisões,3280.000,3233.000,3392.000,3521.000,3215.000,22823.000,21655.000,3605.000,9515.000,8035.000,39856.000,66012.000,51202.000,70093.000,62024.000,1085729.000,1060945.000,1415789.000,1483713.000,1373140.000,112996.000,1025829.000,803191.000,116929.000,554480.000,455076.000,363616.000,912942.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,581483.000,463708.000,489181.000,525745.000,490754.000,526710.000,569222.000,512298.000,506238.000,1428623.000,1536957.000,2728504.000,2640186.000,2749898.000,2880035.000,3655761.000,3638888.000,3801925.000,3912113.000,4878781.000,4735295.000,4889878.000,5023528.000,5199352.000,2442373.000,2488245.000,2604224.000,2630595.000
2.03.01,Capital Social Realizado,482817.000,482817.000,482817.000,482817.000,482817.000,482817.000,482817.000,482817.000,482817.000,593626.000,593626.000,581688.000,632951.000,632951.000,632951.000,1274384.000,1274384.000,1274384.000,1274384.000,2142576.000,2142576.000,2142576.000,2142576.000,2142576.000,1012950.000,1012950.000,1012950.000,1012950.000
2.03.02,Reservas de Capital,-69994.000,-69857.000,-9823.000,-9725.000,-9627.000,-9530.000,-9456.000,-9405.000,-9354.000,730296.000,730343.000,1828752.000,1777499.000,1777509.000,1777512.000,1765314.000,1765315.000,1765315.000,1765315.000,1746090.000,1746090.000,1714253.000,1700630.000,1700211.000,1473216.000,1422556.000,1411407.000,1411363.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,0.000,0.000,0.000,0.000,15965.000,15965.000,15965.000,14189.000,31586.000,31586.000,31586.000,31586.000,243155.000,243155.000,243155.000,243155.000,628184.000,797210.000,903911.000,1019711.000,865143.000,1048160.000,1189006.000,1364061.000,0.000,0.000,0.000,0.000
2.03.05,Lucros/Prejuízos Acumulados,167951.000,49419.000,12385.000,50672.000,0.000,36573.000,75829.000,23089.000,0.000,73241.000,173272.000,283697.000,0.000,121858.000,264345.000,414354.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23883.000,83947.000,176713.000,227159.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,1329.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,709.000,0.000,3802.000,1981.000,1599.000,885.000,4067.000,1608.000,1189.000,-126.000,5010.000,-1318.000,-13419.000,-25575.000,-37928.000,-41446.000,-28995.000,-34984.000,-31497.000,-29596.000,-18514.000,-15111.000,-8684.000,-7496.000,-19910.000,-31208.000,3154.000,-20877.000
2.03.09,Participação dos Acionistas Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3120.000,4099.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
