data_fim,trimestre,cd_conta,ds_conta,valor_mil
2018-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,104657.0
2018-03-31,T1,6.01.01,Caixa Gerado nas Operações,116461.0
2018-03-31,T1,6.01.01.01,Lucro antes do imposto de renda e da contribuição da social,38885.0
2018-03-31,T1,6.01.01.02,"Depreciação e amortização (notas 11.1, 12 e 13)",42469.0
2018-03-31,T1,6.01.01.03,Custo de venda de ativos desmobilizados (nota 27),13367.0
2018-03-31,T1,6.01.01.04,Provisão para demandas judiciais e administrativas (nota 22),-76.0
2018-03-31,T1,6.01.01.05,Perdas esperadas (impairment) de contas a receber (nota 7),66.0
2018-03-31,T1,6.01.01.06,Baixa de outros ativos imobilizados (nota 12),2217.0
2018-03-31,T1,6.01.01.07,Provisão (reversão) para perdas em estoque (nota 8),-18.0
2018-03-31,T1,6.01.01.08,Remuneração com base em ações (nota 24.2 a),150.0
2018-03-31,T1,6.01.01.09,Ganhos com instrumentos financeiros derivativos (nota 28),0.0
2018-03-31,T1,6.01.01.10,"Juros e var. cambiais e mont. s/ empréstimos, financ. arrend. e cessão de dir. creditórios (nota 28)",19401.0
2018-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-16828.0
2018-03-31,T1,6.01.02.01,Contas a receber,-18946.0
2018-03-31,T1,6.01.02.02,Estoques,-13376.0
2018-03-31,T1,6.01.02.03,Tributos a recuperar,956.0
2018-03-31,T1,6.01.02.04,Fornecedores,18139.0
2018-03-31,T1,6.01.02.05,Floor Plan,11760.0
2018-03-31,T1,6.01.02.06,Obrigações trabalhistas e tributos a recolher,703.0
2018-03-31,T1,6.01.02.07,Outros ativos e passivos circulantes e não circulantes,-16064.0
2018-03-31,T1,6.01.03,Outros,5024.0
2018-03-31,T1,6.01.03.01,Resgates (investimentos) em títulos e valores mobiliários,66849.0
2018-03-31,T1,6.01.03.02,Imposto de renda e contribuição social pagos,-2362.0
2018-03-31,T1,6.01.03.03,"Juros e var. cambiais e monet. s/ empréstimos, financiamentos, arrendamentos",-13308.0
2018-03-31,T1,6.01.03.04,Compra de ativo imobilizado operacional para locação,-46155.0
2018-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-1923.0
2018-03-31,T1,6.02.01,Adições ao imobilizado,-1268.0
2018-03-31,T1,6.02.02,Adições ao intangível,-655.0
2018-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-86189.0
2018-03-31,T1,6.03.01,Pagamento pela aquisição da empresa em exercícios anteriores,-33146.0
2018-03-31,T1,6.03.02,Prêmio pago na contratação de opção IDI,0.0
2018-03-31,T1,6.03.03,Partes relacionadas - mútuo,112500.0
2018-03-31,T1,6.03.04,Captação de empréstimos e financiamentos,2730.0
2018-03-31,T1,6.03.05,"Pag. de empréstimos, financ. arrend. mercant. a pagar e arrend. p/ direito de uso",-165569.0
2018-03-31,T1,6.03.06,Cessão de direitos creditórios,-1511.0
2018-03-31,T1,6.03.07,Dividendos e juros sobre capital próprio pagos,-1193.0
2018-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2018-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,16545.0
2018-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,117048.0
2018-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,133593.0
2018-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,123763.0
2018-06-30,T2,6.01.01,Caixa Gerado nas Operações,248481.0
2018-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-37900.0
2018-06-30,T2,6.01.03,Outros,-86818.0
2018-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-1172.0
2018-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-172307.0
2018-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2018-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-49716.0
2018-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,117048.0
2018-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,67332.0
2018-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,176493.0
2018-09-30,T3,6.01.01,Caixa Gerado nas Operações,394516.0
2018-09-30,T3,6.01.01.01,Lucro antes do imposto de renda e da contribuição da social,131939.0
2018-09-30,T3,6.01.01.02,"Depreciação e amortização (notas 11.1, 12 e 13)",147661.0
2018-09-30,T3,6.01.01.03,Custo de venda de ativos desmobilizados (nota 27),46984.0
2018-09-30,T3,6.01.01.04,Provisão para demandas judiciais e administrativas (nota 22),5.0
2018-09-30,T3,6.01.01.05,(Reversão) provisão perdas esperadas (impairment) de contas a receber (nota 7),10443.0
2018-09-30,T3,6.01.01.06,Baixa de outros ativos imobilizados (nota 12),16153.0
2018-09-30,T3,6.01.01.07,Provisão (reversão) para perdas em estoque (nota 8),239.0
2018-09-30,T3,6.01.01.08,Remuneração com base em ações (nota 24.2 a),424.0
2018-09-30,T3,6.01.01.09,Créditos de impostos extemporâneos (nota 27),-3709.0
2018-09-30,T3,6.01.01.10,Ganhos com instrumentos financeiros derivativos (nota 28),-8085.0
2018-09-30,T3,6.01.01.11,Ajuste a valor presente de ativos e passivos,-549.0
2018-09-30,T3,6.01.01.12,"Juros e var. monet. e cambiais s/ emprést., financ., arrend.mercant. a pagar, arrend. dir. de uso",53011.0
2018-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-46465.0
2018-09-30,T3,6.01.02.01,Contas a receber,-30388.0
2018-09-30,T3,6.01.02.02,Estoques,-4230.0
2018-09-30,T3,6.01.02.03,Tributos a recuperar,-1906.0
2018-09-30,T3,6.01.02.04,Fornecedores,-25632.0
2018-09-30,T3,6.01.02.05,Floor Plan,6813.0
2018-09-30,T3,6.01.02.06,Obrigações trabalhistas e tributos a recolher,18083.0
2018-09-30,T3,6.01.02.07,Outros ativos e passivos circulantes e não circulantes,-9205.0
2018-09-30,T3,6.01.03,Outros,-171558.0
2018-09-30,T3,6.01.03.01,(Investimentos) resgates em aplicações financeiras,35905.0
2018-09-30,T3,6.01.03.02,Imposto de renda e contribuição social pagos,-12902.0
