codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,1.4632,2.5025,16.3069,13.3618,13.919,11.9096,11.3533,11.3877
P_VPA,P/VPA,Valuation,x,,,3.7782,3.1138,2.1432,2.0139,0.1215,0.1218
EV_EBITDA,EV/EBITDA,Valuation,x,,,8.9242,8.841,7.3354,4.0642,2.1348,2.135
EV_EBIT,EV/EBIT,Valuation,x,,,16.2389,10.6076,9.3917,6.4859,3.1999,3.2001
EV_RECEITA,EV/Receita,Valuation,x,,,4.3344,3.4784,3.2161,3.5375,1.7478,1.748
DY,Dividend Yield,Valuation,%,,,0.1903,0.2234,0.321,0.5281,8.1303,8.1057
PAYOUT,Payout,Valuation,%,,,4.7185,3.7851,5.5505,6.8184,5.6846,5.6846
ROE,ROE,Rentabilidade,%,28.8906,35.9465,25.5767,21.2971,14.0183,10.6155,11.6721,11.6721
ROA,ROA,Rentabilidade,%,4.6427,4.9233,5.5843,4.9784,3.1318,1.8545,1.9074,1.9074
ROIC,ROIC,Rentabilidade,%,9.0678,9.4115,10.144,11.3137,9.7145,11.9571,17.3473,17.3473
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,43.551,42.2138,48.5691,39.3438,43.8442,87.0396,81.8726,81.8726
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,11.7029,11.842,14.251,13.6081,9.6452,8.107,6.5311,6.5311
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,3.107,3.2646,1.6503,2.9797,3.5317,2.8617,2.0791,2.0791
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,3.3404,4.1193,0.8572,1.5829,1.9899,4.7924,4.5273,4.5273
ICJ,ICJ,Endividamento,x,2.6567,2.773,2.661,1.3827,1.1761,1.3285,1.1347,1.1347
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,20.2243,11.2931,3.5621,7.4825,7.5243,6.6052,10.3876,10.3876
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.4869,1.2917,4.092,0.9686,1.7459,1.5186,1.9342,1.9342
LIQ_SECA,Liquidez Seca,Liquidez,x,1.281,1.2028,3.8125,0.7921,1.2622,1.4805,1.8991,1.8991
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.4198,0.3917,0.6616,0.3394,0.4306,0.2483,0.337,0.337
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.3967,0.3581,0.2772,0.2947,0.2924,0.2318,0.3039,0.3039
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,49.4347,-101.5711,-20.5911,-189.589,105.2549,-74.7361,-39.193,-39.193
PME,PME,Eficiência,dias,63.2483,32.1725,66.866,97.4422,178.5052,22.0797,16.5465,16.5465
NCG_RECEITA,NCG/Receita,Eficiência,%,21.8735,-10.8404,2.4993,-26.4331,18.618,-8.8447,4.5726,4.5726
