cd_conta,conta,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,31226000.0,29983000.0,23477000.0,23762000.0,23372000.0,23634000.0,23833000.0,25345000.0,26669000.0,24771000.0,26685000.0,25866000.0,28823000.0,27669000.0,27763000.0,28327000.0,29259000.0,28564000.0,29562000.0,33884000.0,36852000.0,39526000.0,39525000.0,41110000.0,40229000.0,39590000.0,40978000.0,43481000.0,43158000.0,44303000.0,47532000.0,49000000.0,62234000.0,59651000.0,60987000.0
2.01,Passivo Circulante,5282000.0,4772000.0,4409000.0,4413000.0,4330000.0,4606000.0,3967000.0,4561000.0,4651000.0,8633000.0,9131000.0,8599000.0,8162000.0,6080000.0,6128000.0,6942000.0,4700000.0,5570000.0,6095000.0,7339000.0,8829000.0,9677000.0,9334000.0,9624000.0,8379000.0,7705000.0,9628000.0,9996000.0,10490000.0,9952000.0,9796000.0,8514000.0,13374000.0,11506000.0,11654000.0
2.01.01,Obrigações Sociais e Trabalhistas,570000.0,355000.0,274000.0,227000.0,254000.0,271000.0,334000.0,373000.0,416000.0,325000.0,320000.0,426000.0,203000.0,214000.0,219000.0,234000.0,154000.0,171000.0,186000.0,222000.0,181000.0,207000.0,234000.0,220000.0,260000.0,203000.0,240000.0,302000.0,216000.0,245000.0,291000.0,340000.0,293000.0,378000.0,399000.0
2.01.02,Fornecedores,2103000.0,1594000.0,2129000.0,2682000.0,2318000.0,2095000.0,2229000.0,2219000.0,2103000.0,2092000.0,1847000.0,2307000.0,1549000.0,1313000.0,1764000.0,2196000.0,1551000.0,2394000.0,3020000.0,3310000.0,3926000.0,5080000.0,3452000.0,5134000.0,4196000.0,3338000.0,4107000.0,4496000.0,4354000.0,3104000.0,2544000.0,2432000.0,2919000.0,2840000.0,4639000.0
2.01.03,Obrigações Fiscais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128000.0,1000.0,626000.0,0.0,0.0,0.0,0.0,0.0,0.0,262000.0,4000.0,391000.0,140000.0,427000.0,8000.0,55000.0,4000.0,239000.0,448000.0,1034000.0,421000.0,27000.0,1518000.0,187000.0,76000.0,62000.0,193000.0
2.01.04,Empréstimos e Financiamentos,1084000.0,1301000.0,334000.0,214000.0,286000.0,209000.0,291000.0,239000.0,379000.0,3847000.0,3891000.0,4341000.0,4824000.0,2732000.0,2713000.0,2197000.0,840000.0,788000.0,1342000.0,1457000.0,1523000.0,1939000.0,1648000.0,1802000.0,1394000.0,1482000.0,1608000.0,1470000.0,2951000.0,3984000.0,2835000.0,2775000.0,3560000.0,3229000.0,2317000.0
2.01.05,Outras Obrigações,1380000.0,1383000.0,1527000.0,1156000.0,1332000.0,1897000.0,973000.0,1576000.0,1467000.0,2239000.0,2319000.0,1333000.0,1394000.0,1611000.0,1213000.0,2213000.0,2053000.0,1853000.0,1441000.0,1851000.0,2954000.0,1919000.0,3923000.0,2260000.0,2384000.0,2337000.0,3118000.0,2539000.0,2393000.0,2465000.0,2484000.0,2635000.0,6395000.0,4866000.0,3975000.0
2.01.06,Provisões,145000.0,139000.0,145000.0,134000.0,140000.0,134000.0,140000.0,154000.0,158000.0,129000.0,128000.0,192000.0,192000.0,210000.0,219000.0,102000.0,102000.0,102000.0,102000.0,108000.0,105000.0,105000.0,69000.0,153000.0,141000.0,106000.0,107000.0,155000.0,155000.0,127000.0,124000.0,145000.0,131000.0,131000.0,131000.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,18378000.0,17575000.0,11064000.0,10523000.0,10532000.0,10688000.0,10448000.0,11098000.0,11855000.0,7872000.0,7952000.0,8501000.0,11661000.0,11776000.0,12020000.0,9178000.0,11859000.0,11219000.0,12180000.0,14237000.0,15441000.0,16782000.0,17555000.0,18873000.0,19155000.0,19067000.0,17795000.0,17754000.0,16112000.0,17813000.0,17312000.0,20101000.0,27856000.0,27132000.0,27995000.0
2.02.01,Empréstimos e Financiamentos,11940000.0,10962000.0,4495000.0,4498000.0,4372000.0,4386000.0,5334000.0,5333000.0,5978000.0,2308000.0,2329000.0,2434000.0,5517000.0,6488000.0,6578000.0,6356000.0,9008000.0,8340000.0,9446000.0,12376000.0,12377000.0,13836000.0,14469000.0,15589000.0,15874000.0,15416000.0,14395000.0,14048000.0,12696000.0,14722000.0,14251000.0,18033000.0,22790000.0,22190000.0,22678000.0
2.02.02,Outras Obrigações,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.03,Tributos Diferidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234000.0,0.0,0.0
2.02.04,Provisões,6438000.0,6613000.0,6569000.0,6025000.0,6160000.0,6302000.0,5114000.0,5765000.0,5877000.0,5564000.0,5623000.0,6067000.0,6144000.0,5288000.0,5442000.0,2822000.0,2851000.0,2879000.0,2734000.0,1861000.0,3064000.0,2946000.0,3086000.0,3284000.0,3281000.0,3651000.0,3400000.0,3706000.0,3416000.0,3091000.0,3061000.0,2068000.0,4832000.0,4942000.0,5317000.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,7566000.0,7636000.0,8004000.0,8826000.0,8510000.0,8340000.0,9418000.0,9686000.0,10163000.0,8266000.0,9602000.0,8766000.0,9000000.0,9813000.0,9615000.0,12207000.0,12700000.0,11775000.0,11287000.0,12308000.0,12582000.0,13067000.0,12636000.0,12613000.0,12695000.0,12818000.0,13555000.0,15731000.0,16556000.0,16538000.0,20424000.0,20385000.0,21004000.0,21013000.0,21338000.0
2.03.01,Capital Social Realizado,6352000.0,6352000.0,6352000.0,6352000.0,6352000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,6353000.0,7579000.0,7579000.0,7579000.0,7579000.0,7579000.0,7579000.0,7579000.0,7579000.0,10034000.0,10034000.0,10034000.0,10034000.0,11251000.0,11251000.0
2.03.02,Reservas de Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,4000.0,5000.0,6000.0,-691000.0,-901000.0,-931000.0,-1128000.0,-1124000.0,-1112000.0,-1106000.0,-1103000.0,-1107000.0,-1091000.0,-1063000.0,2000.0,-16000.0,-13000.0,-81000.0,-1000.0,-10000.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
