cd_conta_padrao,ds_conta_padrao,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,1267759.44,1265385.402,1879528.915,1829191.979,1853538.751,1910658.526,2140696.717,1986396.9,2175350.642,2368822.204,2563868.8340000003,2531547.266,2553457.711,2679775.947,2932172.811,2882159.409,2972573.616,3022750.955,3241590.055,3209953.49,3444075.468,3608126.568,4273730.3100000005,4228263.908,4286200.854,4699193.137
2.01,Passivo Circulante,339841.974,333574.219,458812.991,403546.862,506825.046,477441.567,589042.911,302049.592,457924.45,565689.094,674295.867,612673.58,542927.206,529421.555,726251.925,648281.698,621688.348,576747.026,695587.16,677308.863,692059.415,761197.884,995685.874,746558.071,655007.625,586288.397
2.01.01,Obrigações Sociais e Trabalhistas,44067.785,43696.084,65174.613000000005,52283.335,47502.742,42977.037,49922.054,38218.707,56608.598,63466.176,78046.07,69046.691,74512.965,80695.145,92337.869,79320.263,89334.226,93052.615,117858.769,96175.289,102690.21,106681.016,125292.755,101011.384,119621.766,116437.517
2.01.02,Fornecedores,38923.878,30161.334,36421.391,24785.128,18603.769,9039.266,53198.184,44175.202,124280.257,202238.925,157555.945,171990.662,167524.322,187670.865,145207.91700000002,179720.501,214868.769,131017.568,103148.613,143560.79,210548.586,259826.223,372870.705,163900.056,173385.593,212486.697
2.01.03,Obrigações Fiscais,62489.499,36734.331,86777.748,34059.935,35774.266,42098.665,92176.908,35477.379,58800.923,50344.674,113490.886,50448.206,66429.045,63332.547,111870.448,57734.436,65775.633,58278.842,85080.826,53753.630000000005,82613.493,69536.056,106981.058,54829.644,79418.001,101916.845
2.01.04,Empréstimos e Financiamentos,178320.851,177324.472,190934.035,236245.909,302999.87,275019.061,277820.621,61863.25,112784.74,155022.874,127176.043,151602.468,114006.946,75366.789,116970.427,101949.427,100588.909,141777.153,111463.435,126091.968,126079.047,140972.897,113369.653,141155.248,159490.127,42539.596
2.01.05,Outras Obrigações,16039.961,45657.998,79505.204,56172.555,101944.399,108307.538,115925.144,122315.054,105449.932,94616.445,198026.923,169585.553,120453.928,122356.209,259865.264,229557.071,151120.81100000002,152620.848,278035.517,257727.186,170128.079,184181.692,277171.703,285661.739,123092.138,112907.742
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,363045.927,327282.496,330991.588,316909.7,267085.08400000003,317441.64,380177.993,508958.838,460845.912,460295.09,496841.603,481624.106,491688.603,565984.733,547967.6190000001,541789.157,547469.3960000001,569403.89,612280.814,562700.012,578003.854,564745.246,781101.449,869765.7810000001,868683.71,1177052.305
2.02.01,Empréstimos e Financiamentos,345034.89,103088.921,79419.832,62666.667,17500.0,55000.0,112500.0,233358.785,174012.852,135882.555,164036.728,133864.169,118270.257,159792.209,108186.217,120000.0,120000.0,132604.427,160000.0,100000.0,107558.988,90000.0,285191.051,328311.226,316824.391,508994.223
2.02.02,Outras Obrigações,2155.562,209236.924,236337.959,239684.128,234285.375,245246.823,243041.631,250426.648,260823.769,299932.283,315750.489,331294.998,353079.89900000003,387370.643,421527.242,404256.558,408406.854,421215.892,437706.869,448765.475,455812.292,459302.5,477592.787,520108.564,524980.2930000001,635880.615
2.02.03,Tributos Diferidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,15855.475,14956.651,15233.797,14558.905,15299.709,17194.817,24636.362,25173.405,26009.291,24480.252,17054.386,16464.939000000002,20338.447,18821.881,18254.16,17532.599000000002,19062.542,15583.571,14573.945,13934.537,14632.574,15442.746,18317.611,21345.991,26879.026,32177.467
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,564871.539,604528.687,1089724.336,1108735.417,1079628.621,1115775.319,1171475.813,1175388.47,1256580.28,1342838.02,1392731.364,1437249.58,1518841.902,1584369.659,1657953.267,1692088.554,1803415.872,1876600.039,1933722.081,1969944.615,2174012.199,2282183.438,2496942.987,2611940.056,2762509.519,2935852.435
2.03.01,Capital Social Realizado,651909.321,651909.321,1052340.082,1052340.082,1052340.082,1052340.082,1105381.209,1052340.082,1052340.082,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1105381.209,1705381.209,1705381.209,1705381.209,1705381.209
2.03.02,Reservas de Capital,0.0,0.0,0.0,0.0,0.0,0.0,-53041.127,0.0,0.0,-53041.127,-52567.635,-52063.45,-50699.967,-49336.485,-47803.284,-66933.105,-65590.09300000001,-68944.774,-68277.383,-67864.034,-74761.41,-73726.451,-75545.977,-75225.405,-75548.361,-77965.095
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,8334.808,39615.378,37384.254,37384.253,9945.254,9945.254,119135.731,119135.731,119136.304,119136.305,339917.79,338010.161,329186.967,325223.849,600375.3420000001,615069.283,615069.283,615069.283,896618.255,896618.255,896619.721,896619.721,866642.01,866642.01,866644.131,866644.131
2.03.05,Lucros/Prejuízos Acumulados,-90608.011,-82318.445,0.0,19011.082,17343.285,53489.983,0.0,3912.657,85103.894,171361.633,0.0,45921.66,134973.693,203101.086,0.0,38571.167,148555.473,225094.321,0.0,35809.185,246770.68,353935.966,0.0,115038.066,266127.185,441974.247
2.03.06,Ajustes de Avaliação Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,-4764.579,-4677.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999,-27.007,465.745,104.176,-94.645,-182.057
2.03.09,Participação dos Acionistas Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
