data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,83979.16900000001
2019-09-30,T3,6.01.01,Caixa Gerado nas Operações,87262.689
2019-09-30,T3,6.01.01.01,Lucro líquido (prejuízo) do exercício,165323.225
2019-09-30,T3,6.01.01.02,Depreciação e Amortização,14683.94
2019-09-30,T3,6.01.01.03,Encargos e variação cambial sobre empréstimos e financiamentos,8530.601
2019-09-30,T3,6.01.01.04,Encargos sobre arrendamento direto de uso locação,8323.533
2019-09-30,T3,6.01.01.05,Imposto de renda e contribuição social correntes e diferidos,50765.746
2019-09-30,T3,6.01.01.06,Provisão para perdas de estoque,229.532
2019-09-30,T3,6.01.01.07,"Provisão para riscos cíveis, trabalhistas e tributários",-1141.71
2019-09-30,T3,6.01.01.08,Resultado de equivalência patrimonial,88.447
2019-09-30,T3,6.01.01.09,Juros sobre parcelamento de tributos,99.377
2019-09-30,T3,6.01.01.10,Baixa de ativo imobilizado e intangível,216.558
2019-09-30,T3,6.01.01.11,Créditos tributários,-103657.98700000001
2019-09-30,T3,6.01.01.12,Atualização monetária depósitos judiciais e impostos a recuperar,-56248.66
2019-09-30,T3,6.01.01.13,Perdas esperadas de crédito,50.087
2019-09-30,T3,6.01.02,Variações nos Ativos e Passivos,17537.527000000002
2019-09-30,T3,6.01.02.01,Contas a receber,9079.916000000001
2019-09-30,T3,6.01.02.02,Partes relacionadas,27015.633
2019-09-30,T3,6.01.02.03,Estoques,4819.335
2019-09-30,T3,6.01.02.04,Impostos a recuperar,-3429.407
2019-09-30,T3,6.01.02.05,Depósitos judiciais,399.459
2019-09-30,T3,6.01.02.06,Outros créditos,-19.068
2019-09-30,T3,6.01.02.07,Fornecedores,-8017.919
2019-09-30,T3,6.01.02.08,Obrigações trabalhistas e previdenciárias,-345.671
2019-09-30,T3,6.01.02.09,Obrigações tributárias,-10064.367
2019-09-30,T3,6.01.02.10,Arrendamentos a pagar,-1290.673
2019-09-30,T3,6.01.02.11,Parcelamento de tributos,-137.162
2019-09-30,T3,6.01.02.12,Contingências pagas,-688.469
2019-09-30,T3,6.01.02.13,Outras obrigações,215.92000000000002
2019-09-30,T3,6.01.03,Outros,-20821.047
2019-09-30,T3,6.01.03.01,Imposto de renda e contribuição social pagos,-13035.66
2019-09-30,T3,6.01.03.02,Juros pagos de empréstimos e financiamentos,-7785.387
2019-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-17262.579
2019-09-30,T3,6.02.01,Aplicações financeiras,-11.607000000000001
