conta,2019T2,2019T3,2020T1,2020T2,2020T3,2021T1,2021T2,2021T3,2022T1,2022T2,2022T3,2023T1,2023T2,2023T3,2024T1,2024T2,2024T3,2025T1,2025T2,2025T3
3.01 Receita de Venda de Bens e/ou Serviços,102055.253,240333.926,206231.356,137652.807,242626.047,217730.033,246211.465,337214.98,337423.746,469390.205,392875.888,391627.596,559909.247,457310.64,444590.467,656322.035,562899.81,537080.71,761021.118,664502.87
3.02 Custo dos Bens e/ou Serviços Vendidos,-27540.999,-77271.31,-69156.398,-44733.649,-73339.45300000001,-75037.20300000001,0.0,-108788.395,-109272.493,-152282.115,-124054.128,-119042.079,-169811.214,-148268.79,-141600.929,-204560.887,-186189.841,-172401.749,-209813.623,-190274.273
3.03 Resultado Bruto,74514.254,163062.616,137074.958,92919.158,169286.594,142692.83000000002,246211.465,228426.585,228151.253,317108.09,268821.76,272585.517,390098.033,309041.85000000003,302989.538,451761.148,376709.969,364678.961,551207.495,474228.597
3.04 Despesas/Receitas Operacionais,58502.226,-110727.197,-109109.531,-94691.088,-121352.411,-133638.16700000002,-158961.952,-162342.248,-183649.86,-228622.837,-205674.424,-224351.48,-263862.349,-221823.258,-261643.34,-227861.527,-270461.482,-274257.341,-361588.833,-270388.086
3.05 Resultado Antes do Resultado Financeiro e dos Tributos,133016.48,52335.419,27965.427,-1771.93,47934.183000000005,9054.663,87249.513,66084.337,44501.393,88485.253,63147.336,48234.037,126235.684,87218.592,41346.198,223899.621,106248.487,90421.62,189618.662,203840.511
3.06 Resultado Financeiro,43771.389,-13034.318,-13715.435,-6514.905,-12390.433,-8684.328,-5819.6990000000005,-5154.309,-9786.251,-10459.368,-12811.615,-13615.303,-9635.386,-9299.097,-15499.737,3494.832,-14894.248,-19812.692,-33408.336,-28586.589
3.07 Resultado Antes dos Tributos sobre o Lucro,176787.869,39301.101,14249.992,-8286.835000000001,35543.75,370.335,81429.814,60930.028,34715.142,78025.885,50335.721,34618.734000000004,116600.298,77919.495,25846.461,227394.453,91354.239,70608.928,156210.326,175253.922
3.08 Imposto de Renda e Contribuição Social sobre o Lucro,-51034.78,269.034,4761.09,6619.039,602.95,3542.321,-238.574,25327.711,11206.518,11026.148,17791.673,3952.435,-6615.992,-1380.645,9962.724,-16432.957000000002,15811.047,44429.138,-4121.207,595.533
3.09 Resultado Líquido das Operações Continuadas,125753.089,39570.135,19011.082,-1667.796,36146.7,3912.656,81191.24,86257.739,45921.66,89052.033,68127.394,38571.169,109984.306,76538.85,35809.185,210961.496,107165.286,115038.066,152089.119,175849.45500000002
3.10 Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11 Lucro/Prejuízo Consolidado do Período,125753.089,39570.135,19011.082,-1667.796,36146.7,3912.656,81191.24,86257.739,45921.66,89052.033,68127.394,38571.169,109984.306,76538.85,35809.185,210961.496,107165.286,115038.066,152089.119,175849.45500000002
3.99 Lucro por Ação (Reais/Ação),257332.929,0.00013079,8.049e-05,-7.06e-06,0.00015304,1.657e-05,0.00034374,0.00036519,0.00019442,0.00037724,0.0002887,0.00016376,0.00046716,0.00032411,0.00015224,0.00089712,0.00045607,0.00048939,0.0006427,0.00074796
