# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-17 10:29:08
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2010,3.01,778316.000,778316.000,0.000,0.000,OK
2010,3.02,-556132.000,-556132.000,0.000,0.000,OK
2010,3.03,222184.000,222184.000,0.000,0.000,OK
2010,3.04,-127096.000,-127096.000,0.000,0.000,OK
2010,3.04.02,-73453.000,-73453.000,0.000,0.000,OK
2010,3.04.05,0.000,0.000,0.000,0.000,OK
2010,3.04.05.02,0.000,,,,SEM_ANUAL
2010,3.04.06,0.000,0.000,0.000,0.000,OK
2010,3.05,95088.000,95088.000,0.000,0.000,OK
2010,3.06,-421.000,-421.000,0.000,0.000,OK
2010,3.06.01,50698.000,50698.000,0.000,0.000,OK
2010,3.06.02,-51119.000,-51119.000,0.000,0.000,OK
2010,3.07,94667.000,94667.000,0.000,0.000,OK
2010,3.08,-27294.000,-27294.000,0.000,0.000,OK
2010,3.09,67373.000,67373.000,0.000,0.000,OK
2010,3.10,0.000,0.000,0.000,0.000,OK
2010,3.11,67373.000,67373.000,0.000,0.000,OK
2010,3.11.01,67373.000,67373.000,0.000,0.000,OK
2010,3.11.02,0.000,0.000,0.000,0.000,OK
2011,3.01,727419.000,727419.000,0.000,0.000,OK
2011,3.02,-620771.000,-620771.000,0.000,0.000,OK
2011,3.03,106648.000,106648.000,0.000,0.000,OK
2011,3.04,-160232.000,-160232.000,0.000,0.000,OK
2011,3.04.02,-69655.000,-69655.000,0.000,0.000,OK
2011,3.04.05,-29305.000,-29305.000,0.000,0.000,OK
2011,3.04.05.02,0.000,,,,SEM_ANUAL
2011,3.04.06,0.000,0.000,0.000,0.000,OK
2011,3.05,-53584.000,-53584.000,0.000,0.000,OK
2011,3.06,-36312.000,-36312.000,0.000,0.000,OK
2011,3.06.01,79318.000,79318.000,0.000,0.000,OK
2011,3.06.02,-115630.000,-115630.000,0.000,0.000,OK
2011,3.07,-89896.000,-89896.000,0.000,0.000,OK
2011,3.08,-25032.000,-25032.000,0.000,0.000,OK
2011,3.09,-114928.000,-114928.000,0.000,0.000,OK
2011,3.10,0.000,0.000,0.000,0.000,OK
2011,3.11,-114928.000,-114928.000,0.000,0.000,OK
2011,3.11.01,-114928.000,-114928.000,0.000,0.000,OK
2011,3.11.02,0.000,0.000,0.000,0.000,OK
2012,3.01,333801.000,333801.000,0.000,0.000,OK
2012,3.02,-533697.000,-533697.000,0.000,0.000,OK
2012,3.03,-199896.000,-199896.000,0.000,0.000,OK
2012,3.04,-148361.000,-148361.000,0.000,0.000,OK
2012,3.04.02,-77762.000,-77762.000,0.000,0.000,OK
2012,3.04.05,-29948.000,-29948.000,0.000,0.000,OK
2012,3.04.05.02,0.000,,,,SEM_ANUAL
2012,3.04.06,0.000,0.000,0.000,0.000,OK
2012,3.05,-348257.000,-348257.000,0.000,0.000,OK
2012,3.06,-80018.000,-80018.000,0.000,0.000,OK
2012,3.06.01,57294.000,57294.000,0.000,0.000,OK
2012,3.06.02,-137312.000,-137312.000,0.000,0.000,OK
2012,3.07,-428275.000,-428275.000,0.000,0.000,OK
2012,3.08,-17543.000,-17543.000,0.000,0.000,OK
2012,3.09,-445818.000,-445818.000,0.000,0.000,OK
2012,3.10,-17578.000,-17578.000,0.000,0.000,OK
2012,3.11,-463396.000,-463396.000,0.000,0.000,OK
2012,3.11.01,-463396.000,-463396.000,0.000,0.000,OK
2012,3.11.02,0.000,0.000,0.000,0.000,OK
2013,3.01,518809.000,518809.000,0.000,0.000,OK
2013,3.02,-570811.000,-570811.000,0.000,0.000,OK
2013,3.03,-52002.000,-52002.000,0.000,0.000,OK
2013,3.04,-83785.000,-83785.000,0.000,0.000,OK
2013,3.04.02,-49715.000,-49715.000,0.000,0.000,OK
2013,3.04.05,-27508.000,-27508.000,0.000,0.000,OK
2013,3.04.05.02,0.000,,,,SEM_ANUAL
2013,3.04.06,9500.000,9500.000,0.000,0.000,OK
2013,3.05,-135787.000,-135787.000,0.000,0.000,OK
2013,3.06,-137510.000,-137510.000,0.000,0.000,OK
2013,3.06.01,36968.000,36968.000,0.000,0.000,OK
2013,3.06.02,-174478.000,-174478.000,0.000,0.000,OK
2013,3.07,-273297.000,-273297.000,0.000,0.000,OK
2013,3.08,-8128.000,-8128.000,0.000,0.000,OK
2013,3.09,-281425.000,-281425.000,0.000,0.000,OK
2013,3.10,28.000,28.000,0.000,0.000,OK
2013,3.11,-281397.000,-281397.000,0.000,0.000,OK
2013,3.11.01,-281425.000,-281425.000,0.000,0.000,OK
2013,3.11.02,28.000,28.000,0.000,0.000,OK
2014,3.01,158324.000,158324.000,0.000,0.000,OK
