codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,6179911147.91,3582556608.31,1395343341.17,545055573.51,218021558.78,665972.49,346301.6,399597.15,1606737.94,1142123.45,1193947.02,1771993.64,1164531.08,140836.17,45271.98,33378.49,23019.65
P_L,P/L,Valuation,x,91726.8215,-31172.1827,-3011.1251,-1936.963,-934.3034,-2.5459,-0.9934,-3.3519,-8.0931,-5.1836,-6.5875,-30.5906,-92.984,-1.9359,-1.1191,-1.6917,-1.1667
P_VPA,P/VPA,Valuation,x,5513.6869,3561.5329,2364.0351,1730.2692,2674.6845,-3.6055,-0.6797,-6.0578,34.8442,-8.5135,-5.253,-8.8137,-5.7557,26.608,0.4303,0.3807,0.2626
EV_EBITDA,EV/EBITDA,Valuation,x,55683.0765,-84243.193,-4152.6808,-4738.4382,-1490.2695,-11.1839,-5.5829,-10.7259,-23.9265,-8.2534,-9.5881,-40.3165,-31.4946,-2.4011,-1.2087,-2.1851,-1.6332
EV_EBIT,EV/EBIT,Valuation,x,64999.3105,-66876.9958,-4009.6145,-4020.2065,-1433.9733,-10.6101,-5.493,-9.8819,-21.8066,-8.0963,-9.4068,-38.7558,-30.6399,-2.3387,-1.18,-2.0943,-1.5653
EV_RECEITA,EV/Receita,Valuation,x,7941.0605,4926.3725,4183.2598,1052.2018,1382.945,14.9494,-75.4763,164.0391,21.9609,-9.1754,31.2487,28.4832,11.45,2.4157,0.4108,0.7277,0.5439
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,6.011,-10.8079,-58.0645,-62.17,-117.6985,506.9584,100.4304,41.4327,2000.131,500.5145,100.2891,27.0468,6.2095,73.8437,-73.2113,-22.0014,-22.0014
ROA,ROA,Rentabilidade,%,2.6691,-4.0733,-16.6444,-12.7148,-13.3022,-18.4309,-30.4264,-13.2063,-27.0324,-37.9629,-43.3379,-17.7664,-3.6021,-21.2628,-13.9567,-7.4369,-7.4369
ROIC,ROIC,Rentabilidade,%,3.3666,-1.7805,-14.1602,-7.7848,-9.9449,-12.6465,-32.609,-12.7997,-18.4289,-192.1408,209.9949,89.7863,-100.8563,-146.1474,-24.3755,-13.5604,-13.5604
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,14.2612,-5.8478,-100.7364,-22.2057,-92.7983,-133.6694,1351.916,-1529.3682,-91.7851,111.1716,-325.9117,-70.6492,-36.3554,-100.6083,-33.9851,-33.3032,-33.3032
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,8.6563,-15.7994,-138.824,-54.239,-147.3889,-233.5837,1941.6119,-2008.6605,-233.4913,151.6815,-411.8152,-85.2091,-10.2671,-104.6206,-35.887,-35.0101,-35.0101
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,6.6965,-23.0461,-3.0719,-7.2584,-6.3423,-6.735,-4.1562,-6.3235,-3.3386,-1.1809,-1.2642,-3.4214,-5.235,-0.388,-0.027,-0.4067,-0.4067
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.6632,0.9746,1.7501,2.6545,11.4316,-5.4582,-1.98,-8.7013,5.6505,-1.4215,-0.7978,-0.8173,-1.1474,5.1283,0.0098,0.0871,0.0871
ICJ,ICJ,Endividamento,x,1.8601,-0.4634,-2.5362,-0.7782,-1.3105,-1.2868,-2.1011,-0.9416,-0.7037,-2.8256,-3.6919,-3.8253,-16.504,-18.3607,-13.7643,-6.536,-6.536
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,41.7075,55.7622,78.4521,56.2577,67.1838,87.9591,96.3762,100.0,100.0,100.0,100.0,92.9444,99.7743,36.9559,0.6967,0.7082,0.7082
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.4086,1.7493,1.1827,1.5445,1.1415,0.8117,0.5867,0.86,1.0341,0.4465,0.3234,0.4512,0.5118,1.0639,1.2427,1.2293,1.2293
LIQ_SECA,Liquidez Seca,Liquidez,x,1.6246,1.2473,0.6884,1.0839,0.7415,0.5165,0.3463,0.4711,0.6249,0.0636,0.1592,0.2712,0.3058,0.5039,0.7809,0.7469,0.7469
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.7502,1.435,1.2328,1.1197,0.9843,0.83,0.6276,0.9015,1.0349,0.7737,0.5659,0.6075,0.6246,0.9776,1.6427,1.5739,1.5739
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.3083,0.2332,0.1363,0.2624,0.1034,0.0857,-0.0182,0.0072,0.1312,-0.2832,0.1361,0.2069,0.3326,0.219,0.4299,0.2379,0.2379
