cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,3239435.0,3141132.0,3197811.0,3178126.0,3111133.0,3028241.0,3080559.0,3179649.0,3083983.0,3053470.0,3101120.0,3690947.0,3594381.0,3770507.0,3722373.0,3708429.0,4395705.0,4412218.0,4355335.0,4284088.0,2704279.0,2564272.0,2494651.0,2155276.0,2116131.0,2139003.0,2120017.0,1521465.0,1533102.0,1528533.0,1544169.0,1591681.0,1635257.0,1668713.0,1684477.0,1652876.0,1657251.0,1665455.0,1640901.0,1656533.0,1646867.0,1679929.0,1686015.0
1.01,Ativo Circulante,846964.0,755034.0,831510.0,795008.0,749967.0,662693.0,711802.0,823879.0,723365.0,743584.0,782573.0,895908.0,799372.0,964466.0,894894.0,801655.0,1263423.0,1153121.0,1086929.0,996521.0,746821.0,635567.0,602265.0,530311.0,490683.0,513063.0,496675.0,503683.0,486224.0,470170.0,504172.0,499379.0,534708.0,545661.0,545298.0,525229.0,517757.0,531272.0,495121.0,488209.0,482476.0,517712.0,529703.0
1.01.01,Caixa e Equivalentes de Caixa,247059.0,162191.0,166330.0,257625.0,224965.0,147911.0,191630.0,376414.0,247061.0,197368.0,241906.0,409740.0,187673.0,310552.0,239007.0,247735.0,575498.0,423579.0,343643.0,467206.0,133144.0,69341.0,47183.0,56214.0,45205.0,48974.0,47220.0,34155.0,24581.0,23765.0,25669.0,48835.0,31533.0,24951.0,26691.0,31208.0,27765.0,26509.0,24312.0,35290.0,43091.0,33516.0,36855.0
1.01.02,Aplicações Financeiras,55052.0,41088.0,53670.0,35247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10796.0,10955.0,11073.0,11155.0,11231.0,11310.0,11439.0,11642.0,11954.0,12377.0,12902.0,13525.0,14157.0,14829.0,15510.0,16239.0,16912.0,17567.0,18207.0,18906.0,19642.0,0.0,0.0,0.0
1.01.03,Contas a Receber,176962.0,167183.0,176073.0,139588.0,142245.0,158434.0,133059.0,68142.0,69965.0,96940.0,90933.0,57661.0,86268.0,129701.0,118669.0,77374.0,135953.0,159634.0,128187.0,93727.0,119993.0,92241.0,111113.0,117825.0,82388.0,116875.0,112132.0,159355.0,129498.0,114049.0,141703.0,113259.0,117304.0,124508.0,122979.0,115664.0,109064.0,151345.0,138737.0,174749.0,155683.0,209343.0,219555.0
1.01.04,Estoques,333326.0,326322.0,313070.0,267473.0,279090.0,298586.0,334468.0,335705.0,363179.0,349896.0,347895.0,291961.0,380626.0,387855.0,395943.0,356385.0,414692.0,440102.0,484186.0,311687.0,385419.0,381446.0,349754.0,284305.0,289883.0,279244.0,281691.0,231503.0,256674.0,256207.0,259690.0,271359.0,313120.0,320676.0,322449.0,296386.0,304926.0,292849.0,288477.0,249099.0,270891.0,263295.0,261732.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,17723.0,25427.0,32813.0,29539.0,35067.0,49114.0,45574.0,36471.0,31204.0,79345.0,75175.0,119684.0,120399.0,109467.0,106819.0,90498.0,93964.0,78699.0,79567.0,63219.0,67319.0,65046.0,75892.0,58353.0,58001.0,52774.0,40248.0,63059.0,57737.0,57554.0,57024.0,45314.0,52712.0,51807.0,51393.0,61165.0,54072.0,38830.0,21770.0,6388.0,9323.0,8635.0,9092.0
1.01.07,Despesas Antecipadas,12135.0,17905.0,11894.0,8692.0,10663.0,8648.0,7071.0,7147.0,11956.0,20035.0,26664.0,16862.0,24406.0,26891.0,34456.0,29663.0,43316.0,51107.0,51346.0,49886.0,29991.0,16420.0,7168.0,2383.0,3896.0,3757.0,3742.0,3657.0,5357.0,5693.0,6561.0,6455.0,5210.0,8209.0,5547.0,3894.0,4363.0,3532.0,2919.0,3041.0,3488.0,2923.0,2469.0
1.01.08,Outros Ativos Circulantes,4707.0,14918.0,77660.0,56844.0,57937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
