cd_conta,ds_conta,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,336701.000,336701.000,336701.000,336701.000,336701.000,320439.500,304178.000,287916.500,271655.000,255393.500,239132.000,222870.500,206609.000,190347.500,174086.000,176385.000,178132.000,237114.000,296079.000,296573.000,282498.000,313593.000,248627.000,283076.000,282339.000,311787.000,297182.000,341100.000,316051.000,295483.000,299327.000,333860.000,314247.000,296711.000,250396.000,244930.000,212143.000,246614.000,208691.000,45198.000,141809.000,203118.000,167896.000,195617.000,225083.000,287323.000,232766.000,268357.000,287279.000,277496.000,265169.000,288279.000,274528.000,281848.000,248132.000,290170.000,264590.000,308663.000,265870.000,319906.000,309400.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-113859.000,-113859.000,-113859.000,-113859.000,-113859.000,-108507.500,-103156.000,-97804.500,-92453.000,-87101.500,-81750.000,-76398.500,-71047.000,-65695.500,-60344.000,-58829.000,-60741.000,-79262.000,-121311.000,-122975.000,-119862.000,-133595.000,-117132.000,-118347.000,-116564.000,-117756.000,-128855.000,-137303.000,-144939.000,-120773.000,-107430.000,-111627.000,-122782.000,-109943.000,-77985.000,-92660.000,-78944.000,-251087.000,-76183.000,-27484.000,-82678.000,-117359.000,-85414.000,-92675.000,-97168.000,-143451.000,-99326.000,-95751.000,-112104.000,-98234.000,-95395.000,-93153.000,-100271.000,-92167.000,-93025.000,-102417.000,-99536.000,-113310.000,-99479.000,-114779.000,-111361.000
3.03,Resultado Bruto,222842.000,222842.000,222842.000,222842.000,222842.000,211932.000,201022.000,190112.000,179202.000,168292.000,157382.000,146472.000,135562.000,124652.000,113742.000,117556.000,117391.000,157852.000,174768.000,173598.000,162636.000,179998.000,131495.000,164729.000,165775.000,194031.000,168327.000,203797.000,171112.000,174710.000,191897.000,222233.000,191465.000,186768.000,172411.000,152270.000,133199.000,-4473.000,132508.000,17714.000,59131.000,85759.000,82482.000,102942.000,127915.000,143872.000,133440.000,172606.000,175175.000,179262.000,169774.000,195126.000,174257.000,189681.000,155107.000,187753.000,165054.000,195353.000,166391.000,205127.000,198039.000
3.04,Despesas/Receitas Operacionais,-164780.000,-164780.000,-164780.000,-164780.000,-164780.000,-157753.900,-150727.800,-143701.700,-136675.600,-129649.500,-122623.400,-115597.300,-108571.200,-101545.100,-94519.000,-90990.000,-91830.000,-129804.000,-119506.000,-131350.000,-142081.000,-145932.000,-121276.000,-129448.000,-128536.000,-170858.000,-130053.000,-145031.000,-135560.000,-329727.000,-136356.000,-142647.000,-138985.000,-100380.000,-149484.000,-51005.000,-153095.000,-186651.000,-846438.000,-135655.000,-141186.000,-427506.000,-114346.000,-125346.000,-133272.000,-761764.000,-138104.000,-152945.000,-168644.000,13019.000,-162564.000,-190865.000,-167237.000,-175691.000,-157361.000,-168078.000,-164802.000,-169586.000,-167136.000,-174323.000,-174150.000
3.04.02,Despesas Gerais e Administrativas,-52369.000,-52369.000,-52369.000,-52369.000,-52369.000,-51147.200,-49925.400,-48703.600,-47481.800,-46260.000,-45038.200,-43816.400,-42594.600,-41372.800,-40151.000,-26141.000,-37179.000,-24977.000,-48522.000,-48203.000,-55530.000,-9441.000,-54150.000,-49933.000,-48504.000,-11774.000,-54395.000,-58310.000,-60404.000,-6225.000,-54435.000,-56916.000,-55399.000,64836.000,-29567.000,-41555.000,-37965.000,-41050.000,-40275.000,-36938.000,-47074.000,-42862.000,-23001.000,-24777.000,-29461.000,-43627.000,-27783.000,-30986.000,-45069.000,-37643.000,-35983.000,-39341.000,-45725.000,-42983.000,-42931.000,-42646.000,-43015.000,-42568.000,-44402.000,-44710.000,-43939.000
3.04.05,Outras Despesas Operacionais,-11150.000,-11150.000,-11150.000,-11150.000,-11150.000,-10221.300,-9292.600,-8363.900,-7435.200,-6506.500,-5577.800,-4649.100,-3720.400,-2791.700,-1863.000,-204.000,14.000,-84516.000,-1512.000,-3062.000,-947.000,-94039.000,5017.000,0.000,375.000,-107621.000,4440.000,0.000,7348.000,-107925.000,2769.000,-725.000,0.000,-11186.000,-615.000,-2801.000,-2862.000,-41124.000,-667652.000,-18596.000,2421.000,-270112.000,-1144.000,-1369.000,-1334.000,-574977.000,-1461.000,-1638.000,-2144.000,-26676.000,-1211.000,-21379.000,-781.000,-2421.000,-528.000,-1227.000,-727.000,-883.000,-731.000,-831.000,-199.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,58062.000,58062.000,58062.000,58062.000,58062.000,54178.100,50294.200,46410.300,42526.400,38642.500,34758.600,30874.700,26990.800,23106.900,19223.000,26566.000,25561.000,28048.000,55262.000,42248.000,20555.000,34066.000,10219.000,35281.000,37239.000,23173.000,38274.000,58766.000,35552.000,-155017.000,55541.000,79586.000,52480.000,86388.000,22927.000,101265.000,-19896.000,-191124.000,-713930.000,-117941.000,-82055.000,-341747.000,-31864.000,-22404.000,-5357.000,-617892.000,-4664.000,19661.000,6531.000,192281.000,7210.000,4261.000,7020.000,13990.000,-2254.000,19675.000,252.000,25767.000,-745.000,30804.000,23889.000
3.06,Resultado Financeiro,-29748.000,-29748.000,-29748.000,-29748.000,-29748.000,-28762.100,-27776.200,-26790.300,-25804.400,-24818.500,-23832.600,-22846.700,-21860.800,-20874.900,-19889.000,-23891.000,-25407.000,-39448.000,-40202.000,-41928.000,-58889.000,-56102.000,-38173.000,-54922.000,-51375.000,-50513.000,-51551.000,-46990.000,-43979.000,-48895.000,-30810.000,-42161.000,-45539.000,-26059.000,-40072.000,-46046.000,-46694.000,-43678.000,-35275.000,-28770.000,-30044.000,-31522.000,-25646.000,-33539.000,-43779.000,-56861.000,-66432.000,-75474.000,-85281.000,-18161.000,-13311.000,-34386.000,-18389.000,-16914.000,-14333.000,-13979.000,-12042.000,-13729.000,-14573.000,-15207.000,-15962.000
3.06.01,Receitas Financeiras,8520.000,8520.000,8520.000,8520.000,8520.000,9152.600,9785.200,10417.800,11050.400,11683.000,12315.600,12948.200,13580.800,14213.400,14846.000,8415.000,26453.000,15167.000,8392.000,20864.000,-2669.000,23493.000,27859.000,8713.000,3011.000,5187.000,4870.000,5366.000,3482.000,3468.000,3508.000,1529.000,2713.000,4738.000,2895.000,5723.000,3998.000,3042.000,2526.000,850.000,585.000,565.000,361.000,578.000,698.000,1138.000,1277.000,1352.000,2149.000,14118.000,2568.000,1584.000,1508.000,2158.000,1625.000,1764.000,2225.000,2026.000,2426.000,1689.000,1551.000
