data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-12-31,T4,2,Passivo Total,4595219.0
2020-12-31,T4,2.01,Passivo Circulante,2064600.0
2020-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,77494.0
2020-12-31,T4,2.01.01.01,Obrigações Sociais,77494.0
2020-12-31,T4,2.01.01.02,Obrigações Trabalhistas,0.0
2020-12-31,T4,2.01.02,Fornecedores,955882.0
2020-12-31,T4,2.01.02.01,Fornecedores Nacionais,953095.0
2020-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,2787.0
2020-12-31,T4,2.01.03,Obrigações Fiscais,60327.0
2020-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,6049.0
2020-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,6049.0
2020-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,42331.0
2020-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,11947.0
2020-12-31,T4,2.01.03.03.01,Outros tributos,11947.0
2020-12-31,T4,2.01.03.03.02,Outros,0.0
2020-12-31,T4,2.01.04,Empréstimos e Financiamentos,734460.0
2020-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,599285.0
2020-12-31,T4,2.01.04.01.01,Em Moeda Nacional,442013.0
2020-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,157272.0
2020-12-31,T4,2.01.04.02,Debêntures,135175.0
2020-12-31,T4,2.01.04.03,Financiamento por Arrendamento,0.0
2020-12-31,T4,2.01.05,Outras Obrigações,233886.0
2020-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2020-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2020-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2020-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2020-12-31,T4,2.01.05.02,Outros,233886.0
2020-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2020-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,49081.0
2020-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2020-12-31,T4,2.01.05.02.04,Adiantamento de clientes,14925.0
2020-12-31,T4,2.01.05.02.05,Outros,51459.0
2020-12-31,T4,2.01.05.02.06,Fornecedores - Confirming,64763.0
2020-12-31,T4,2.01.05.02.07,Tributos a recolher parcelados,2873.0
2020-12-31,T4,2.01.05.02.08,Fornecedores partes relacionadas,0.0
2020-12-31,T4,2.01.05.02.09,Passivo de arrendamento,50785.0
2020-12-31,T4,2.01.06,Provisões,2551.0
2020-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,2551.0
2020-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2020-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2020-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2020-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2020-12-31,T4,2.01.06.01.05,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,2551.0
2020-12-31,T4,2.01.06.02,Outras Provisões,0.0
2020-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2020-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2020-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2020-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2020-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2020-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2020-12-31,T4,2.02,Passivo Não Circulante,1329591.0
2020-12-31,T4,2.02.01,Empréstimos e Financiamentos,411373.0
2020-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,164362.0
2020-12-31,T4,2.02.01.01.01,Em Moeda Nacional,164362.0
2020-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,0.0
2020-12-31,T4,2.02.01.02,Debêntures,247011.0
2020-12-31,T4,2.02.01.03,Financiamento por Arrendamento,0.0
2020-12-31,T4,2.02.02,Outras Obrigações,552657.0
2020-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2020-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2020-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2020-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2020-12-31,T4,2.02.02.02,Outros,552657.0
