cd_conta,conta,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,4595219.000,4510747.000,5353526.000,5691660.000,6897190.000,6816887.000,7079252.000,8257107.000,9559624.000,8952285.000,9001416.000,9962151.000,10186693.000,11096088.000,10525811.000,10335550.000,9545108.000,9371027.000,9204031.000,9063534.000
2.01,Passivo Circulante,2064600.000,1902203.000,1893385.000,1562094.000,2124284.000,2038983.000,2242439.000,2325143.000,3215396.000,2628805.000,2728928.000,2925878.000,3056590.000,2953588.000,2622517.000,2701677.000,2853968.000,2793118.000,2771734.000,3154017.000
2.01.01,Obrigações Sociais e Trabalhistas,77494.000,74706.000,83992.000,91887.000,72860.000,77866.000,96331.000,114275.000,100550.000,107037.000,115907.000,126181.000,108718.000,106004.000,112677.000,119619.000,91825.000,95691.000,115585.000,119529.000
2.01.02,Fornecedores,955882.000,926564.000,935034.000,865631.000,1153461.000,1068218.000,1433114.000,1233811.000,1927286.000,1524036.000,1372261.000,1479186.000,1716116.000,1642435.000,1583929.000,1655056.000,1843848.000,1871349.000,1652772.000,1680505.000
2.01.03,Obrigações Fiscais,60327.000,93708.000,139254.000,41591.000,59862.000,79190.000,81467.000,49814.000,56634.000,108500.000,89084.000,90216.000,74344.000,89285.000,67840.000,66225.000,78456.000,83142.000,80989.000,71034.000
2.01.04,Empréstimos e Financiamentos,734460.000,643835.000,370465.000,266882.000,249904.000,279414.000,176888.000,224503.000,275483.000,192276.000,393873.000,431119.000,391746.000,410950.000,237732.000,229801.000,402752.000,376743.000,384350.000,796779.000
2.01.05,Outras Obrigações,233886.000,159928.000,361178.000,292566.000,584575.000,532082.000,452486.000,702740.000,855443.000,696956.000,757803.000,799176.000,765666.000,704914.000,620339.000,630976.000,437087.000,366193.000,538038.000,486170.000
2.01.06,Provisões,2551.000,3462.000,3462.000,3537.000,3622.000,2213.000,2153.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,1329591.000,1386916.000,1979781.000,1957488.000,2621889.000,2583020.000,2604491.000,3639165.000,4063786.000,4004820.000,3897073.000,3906837.000,3840743.000,4856220.000,4644008.000,4619052.000,4764618.000,4709278.000,4645094.000,3894759.000
