# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-16 21:20:42
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2020,3.01,4413421.000,4413421.000,0.000,0.000,OK
2020,3.02,-3774950.000,-3774950.000,0.000,0.000,OK
2020,3.03,638471.000,638471.000,0.000,0.000,OK
2020,3.04,-441450.000,-441450.000,0.000,0.000,OK
2020,3.04.02,-258004.000,-258004.000,0.000,0.000,OK
2020,3.04.05,-115546.000,-115546.000,0.000,0.000,OK
2020,3.04.05.02,0.000,,,,SEM_ANUAL
2020,3.04.06,-251.000,-251.000,0.000,0.000,OK
2020,3.05,197021.000,197021.000,0.000,0.000,OK
2020,3.06,-7436.000,-7436.000,0.000,0.000,OK
2020,3.06.01,344009.000,344009.000,0.000,0.000,OK
2020,3.06.02,-351445.000,-351445.000,0.000,0.000,OK
2020,3.07,189585.000,189585.000,0.000,0.000,OK
2020,3.08,-67819.000,-67819.000,0.000,0.000,OK
2020,3.09,121766.000,121766.000,0.000,0.000,OK
2020,3.10,0.000,0.000,0.000,0.000,OK
2020,3.11,121766.000,121766.000,0.000,0.000,OK
2020,3.11.01,121766.000,121766.000,0.000,0.000,OK
2020,3.11.02,0.000,0.000,0.000,0.000,OK
2021,3.01,6218759.000,6218759.000,0.000,0.000,OK
2021,3.02,-5121452.000,-5121452.000,0.000,0.000,OK
2021,3.03,1097307.000,1097307.000,0.000,0.000,OK
2021,3.04,-605007.000,-605007.000,0.000,0.000,OK
2021,3.04.02,-475497.000,-475497.000,0.000,0.000,OK
2021,3.04.05,-235945.000,-235945.000,0.000,0.000,OK
2021,3.04.05.02,0.000,,,,SEM_ANUAL
2021,3.04.06,-2998.000,-2998.000,0.000,0.000,OK
2021,3.05,492300.000,492300.000,0.000,0.000,OK
2021,3.06,-83449.000,-83449.000,0.000,0.000,OK
2021,3.06.01,303305.000,303305.000,0.000,0.000,OK
2021,3.06.02,-386754.000,-386754.000,0.000,0.000,OK
2021,3.07,408851.000,408851.000,0.000,0.000,OK
2021,3.08,-13696.000,-13696.000,0.000,0.000,OK
2021,3.09,395155.000,395155.000,0.000,0.000,OK
2021,3.10,0.000,0.000,0.000,0.000,OK
2021,3.11,395155.000,395155.000,0.000,0.000,OK
2021,3.11.01,395155.000,395155.000,0.000,0.000,OK
2021,3.11.02,0.000,0.000,0.000,0.000,OK
2022,3.01,8746531.000,8746531.000,0.000,0.000,OK
2022,3.02,-7349867.000,-7349867.000,0.000,0.000,OK
2022,3.03,1396664.000,1396664.000,0.000,0.000,OK
2022,3.04,-883298.000,-883298.000,0.000,0.000,OK
2022,3.04.02,-623310.000,-623310.000,0.000,0.000,OK
2022,3.04.05,-24577.000,-24577.000,0.000,0.000,OK
2022,3.04.05.02,0.000,,,,SEM_ANUAL
2022,3.04.06,-3526.000,-3526.000,0.000,0.000,OK
2022,3.05,513366.000,513366.000,0.000,0.000,OK
2022,3.06,-305284.000,-305284.000,0.000,0.000,OK
2022,3.06.01,663389.000,663389.000,0.000,0.000,OK
2022,3.06.02,-968673.000,-968673.000,0.000,0.000,OK
2022,3.07,208082.000,208082.000,0.000,0.000,OK
2022,3.08,51651.000,51651.000,0.000,0.000,OK
2022,3.09,259733.000,259733.000,0.000,0.000,OK
2022,3.10,0.000,0.000,0.000,0.000,OK
2022,3.11,259733.000,259733.000,0.000,0.000,OK
2022,3.11.01,259733.000,259733.000,0.000,0.000,OK
2022,3.11.02,0.000,0.000,0.000,0.000,OK
2023,3.01,11083830.000,11083830.000,0.000,0.000,OK
2023,3.02,-9349113.000,-9349113.000,0.000,0.000,OK
2023,3.03,1734717.000,1734717.000,0.000,0.000,OK
2023,3.04,-1098267.000,-1098267.000,0.000,0.000,OK
2023,3.04.02,-864658.000,-864658.000,0.000,0.000,OK
2023,3.04.05,-21618.000,-21618.000,0.000,0.000,OK
2023,3.04.05.02,0.000,,,,SEM_ANUAL
2023,3.04.06,-1677.000,-1677.000,0.000,0.000,OK
2023,3.05,636450.000,636450.000,0.000,0.000,OK
2023,3.06,-497953.000,-497953.000,0.000,0.000,OK
2023,3.06.01,162417.000,162417.000,0.000,0.000,OK
2023,3.06.02,-660370.000,-660370.000,0.000,0.000,OK
2023,3.07,138497.000,138497.000,0.000,0.000,OK
2023,3.08,221419.000,221419.000,0.000,0.000,OK
2023,3.09,359916.000,359916.000,0.000,0.000,OK
2023,3.10,0.000,0.000,0.000,0.000,OK
2023,3.11,359916.000,359916.000,0.000,0.000,OK
2023,3.11.01,359916.000,359916.000,0.000,0.000,OK
2023,3.11.02,0.000,0.000,0.000,0.000,OK
2024,3.01,11583371.000,11583371.000,0.000,0.000,OK
2024,3.02,-10277418.000,-10277418.000,0.000,0.000,OK
2024,3.03,1305953.000,1305953.000,0.000,0.000,OK
2024,3.04,-2168940.000,-2168940.000,0.000,0.000,OK
2024,3.04.02,-989334.000,-989334.000,0.000,0.000,OK
2024,3.04.05,-589909.000,-589909.000,0.000,0.000,OK
2024,3.04.05.02,0.000,,,,SEM_ANUAL
2024,3.04.06,-11862.000,-11862.000,0.000,0.000,OK
2024,3.05,-862987.000,-862987.000,0.000,0.000,OK
2024,3.06,-728560.000,-728560.000,0.000,0.000,OK
2024,3.06.01,134795.000,134795.000,0.000,0.000,OK
2024,3.06.02,-863355.000,-863355.000,0.000,0.000,OK
2024,3.07,-1591547.000,-1591547.000,0.000,0.000,OK
2024,3.08,176056.000,176056.000,0.000,0.000,OK
2024,3.09,-1415491.000,-1415491.000,0.000,0.000,OK
2024,3.10,0.000,0.000,0.000,0.000,OK
2024,3.11,-1415491.000,-1415491.000,0.000,0.000,OK
2024,3.11.01,0.000,0.000,0.000,0.000,OK
2024,3.11.02,0.000,0.000,0.000,0.000,OK
2025,3.01,8434055.000,,,,SEM_ANUAL
2025,3.02,-7211756.000,,,,SEM_ANUAL
2025,3.03,1222299.000,,,,SEM_ANUAL
2025,3.04,-787305.000,,,,SEM_ANUAL
2025,3.04.02,-709898.000,,,,SEM_ANUAL
2025,3.04.05,-10213.000,,,,SEM_ANUAL
2025,3.04.05.02,0.000,,,,SEM_ANUAL
2025,3.04.06,-1285.000,,,,SEM_ANUAL
2025,3.05,434994.000,,,,SEM_ANUAL
2025,3.06,-297018.000,,,,SEM_ANUAL
2025,3.06.01,341635.000,,,,SEM_ANUAL
2025,3.06.02,-638653.000,,,,SEM_ANUAL
2025,3.07,137976.000,,,,SEM_ANUAL
2025,3.08,-41391.000,,,,SEM_ANUAL
2025,3.09,96585.000,,,,SEM_ANUAL
2025,3.10,0.000,,,,SEM_ANUAL
2025,3.11,96585.000,,,,SEM_ANUAL
2025,3.11.01,-58934.000,,,,SEM_ANUAL
2025,3.11.02,0.000,,,,SEM_ANUAL
