data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,14261541.0
2015-12-31,T4,2.01,Passivo Circulante,3494850.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,191077.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,191077.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,0.0
2015-12-31,T4,2.01.02,Fornecedores,566769.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,0.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,121461.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,121461.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,28160.0
2015-12-31,T4,2.01.03.01.02,Outros,93301.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,1284633.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,1284633.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,0.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.01.04.02,Debêntures,0.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,1330910.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.02,Outros,1330910.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,172484.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Adiantamento de Clientes,486225.0
2015-12-31,T4,2.01.05.02.05,Participação nos Lucros,143897.0
2015-12-31,T4,2.01.05.02.06,Instrumentos Financeiros Derivativos,1438.0
2015-12-31,T4,2.01.05.02.07,Contas a pagar - controladas no exterior,209867.0
2015-12-31,T4,2.01.05.02.08,Outros,316999.0
2015-12-31,T4,2.01.06,Provisões,0.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
