data_fim,trimestre,cd_conta,ds_conta,valor_mil
2014-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,274383.0
2014-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-98374.0
2014-12-31,T4,3.03,Resultado Bruto,176009.0
2014-12-31,T4,3.04,Despesas/Receitas Operacionais,-57704.0
2014-12-31,T4,3.04.01,Despesas com Vendas,0.0
2014-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-48027.0
2014-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2014-12-31,T4,3.04.04,Outras Receitas Operacionais,425.0
2014-12-31,T4,3.04.05,Outras Despesas Operacionais,-10102.0
2014-12-31,T4,3.04.05.01,Depreciação e amortização,-1429.0
2014-12-31,T4,3.04.05.02,Outras despesas,-8673.0
2014-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2014-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,118305.0
2014-12-31,T4,3.06,Resultado Financeiro,11752.0
2014-12-31,T4,3.06.01,Receitas Financeiras,13838.0
2014-12-31,T4,3.06.02,Despesas Financeiras,-2086.0
2014-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,130057.0
2014-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-44997.0
2014-12-31,T4,3.08.01,Corrente,-43813.0
2014-12-31,T4,3.08.02,Diferido,-1184.0
2014-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,85060.0
2014-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2014-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2014-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2014-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,85060.0
2014-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,81682.0
2014-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,3378.0
2014-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2014-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2014-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,363800.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-118442.0
2015-12-31,T4,3.03,Resultado Bruto,245358.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-91739.0
2015-12-31,T4,3.04.01,Despesas com Vendas,0.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-55578.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,3321.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-39482.0
2015-12-31,T4,3.04.05.01,Depreciação e amortização,-2519.0
2015-12-31,T4,3.04.05.02,Outras despesas,-36963.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,153619.0
2015-12-31,T4,3.06,Resultado Financeiro,11355.0
2015-12-31,T4,3.06.01,Receitas Financeiras,13720.0
