data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,570872.0
2015-03-31,T1,1.01,Ativo Circulante,238678.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,83549.0
2015-03-31,T1,1.01.01.01,Caixa e Bancos,1232.0
2015-03-31,T1,1.01.01.02,Equivalentes de Caixa,82317.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,45924.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,45924.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,45924.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.01.03,Contas a Receber,59315.0
2015-03-31,T1,1.01.03.01,Clientes,43195.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,16120.0
2015-03-31,T1,1.01.04,Estoques,27069.0
2015-03-31,T1,1.01.05,Ativos Biológicos,12074.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,10024.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,10024.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,563.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,160.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,160.0
2015-03-31,T1,1.02,Ativo Não Circulante,332194.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,1059.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.02.01.03,Contas a Receber,0.0
2015-03-31,T1,1.02.01.03.01,Clientes,0.0
2015-03-31,T1,1.02.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.02.01.04,Estoques,0.0
2015-03-31,T1,1.02.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.02.01.06,Tributos Diferidos,0.0
2015-03-31,T1,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-03-31,T1,1.02.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.02.01.08,Créditos com Partes Relacionadas,302.0
2015-03-31,T1,1.02.01.08.01,Créditos com Coligadas,302.0
2015-03-31,T1,1.02.01.08.03,Créditos com Controladores,0.0
2015-03-31,T1,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.09,Outros Ativos Não Circulantes,757.0
2015-03-31,T1,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.02.01.09.03,Depósitos Judiciais,697.0
2015-03-31,T1,1.02.01.09.04,Tributos a Recuperar,60.0
2015-03-31,T1,1.02.02,Investimentos,278.0
2015-03-31,T1,1.02.02.01,Participações Societárias,278.0
2015-03-31,T1,1.02.02.01.01,Participações em Coligadas,151.0
2015-03-31,T1,1.02.02.01.04,Outras Participações Societárias,127.0
2015-03-31,T1,1.02.02.02,Propriedades para Investimento,0.0
2015-03-31,T1,1.02.03,Imobilizado,321885.0
2015-03-31,T1,1.02.03.01,Imobilizado em Operação,320334.0
2015-03-31,T1,1.02.03.01.01,Imobilizado em Operação,297798.0
2015-03-31,T1,1.02.03.01.02,Ativos Biológicos,22536.0
2015-03-31,T1,1.02.03.02,Imobilizado Arrendado,0.0
2015-03-31,T1,1.02.03.03,Imobilizado em Andamento,1551.0
2015-03-31,T1,1.02.03.03.01,Imobilizado em Andamento,1551.0
2015-03-31,T1,1.02.04,Intangível,8972.0
2015-03-31,T1,1.02.04.01,Intangíveis,8972.0
2015-03-31,T1,1.02.04.01.01,Contrato de Concessão,0.0
2015-03-31,T1,1.02.04.01.02,Fundo de Comércio,8920.0
2015-03-31,T1,1.02.04.01.03,Intangíveis,52.0
2015-03-31,T1,1.02.04.02,Goodwill,0.0
2015-06-30,T2,1,Ativo Total,576019.0
2015-06-30,T2,1.01,Ativo Circulante,244230.0
2015-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,34241.0
2015-06-30,T2,1.01.01.01,Caixa e Bancos,1477.0
2015-06-30,T2,1.01.01.02,Equivalentes de Caixa,32764.0
2015-06-30,T2,1.01.02,Aplicações Financeiras,83373.0
2015-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,83373.0
2015-06-30,T2,1.01.02.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.01.02.01.02,Títulos Disponíveis para Venda,83373.0
2015-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.01.03,Contas a Receber,74056.0
2015-06-30,T2,1.01.03.01,Clientes,56926.0
2015-06-30,T2,1.01.03.02,Outras Contas a Receber,17130.0
2015-06-30,T2,1.01.04,Estoques,28010.0
2015-06-30,T2,1.01.05,Ativos Biológicos,11141.0
2015-06-30,T2,1.01.06,Tributos a Recuperar,12406.0
2015-06-30,T2,1.01.06.01,Tributos Correntes a Recuperar,12406.0
2015-06-30,T2,1.01.07,Despesas Antecipadas,414.0
2015-06-30,T2,1.01.08,Outros Ativos Circulantes,589.0
2015-06-30,T2,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.01.08.03,Outros,589.0
2015-06-30,T2,1.01.08.03.02,Outros,589.0
2015-06-30,T2,1.02,Ativo Não Circulante,331789.0
2015-06-30,T2,1.02.01,Ativo Realizável a Longo Prazo,1070.0
2015-06-30,T2,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.02.01.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
