cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,568110.000,537751.000,594557.000,591426.000,561606.000,578579.000,591271.000,585994.000,658138.000,654520.000,680254.000,668731.000,689017.000,619787.000,599996.000,621855.000,579580.000,570872.000,576019.000,563230.000,518925.000,507272.000,504671.000,495914.000,518539.000,500481.000,516248.000,515844.000,473834.000,464305.000,480058.000,487502.000,506836.000,494284.000,531113.000,526430.000,515472.000,534972.000,578271.000,578365.000,569367.000,629063.000,640869.000,651248.000,668104.000,691875.000,701948.000,738655.000,811565.000,867564.000,944222.000,825600.000,1008709.000,883021.000,1078945.000,1148310.000,1311805.000,1426326.000,1492460.000,1533872.000
2.01,Passivo Circulante,101977.000,63829.000,111313.000,96041.000,65469.000,90369.000,101853.000,90630.000,115665.000,113301.000,145480.000,125048.000,160116.000,83579.000,65556.000,79710.000,50389.000,43436.000,52415.000,74265.000,36948.000,30052.000,35316.000,32574.000,58669.000,41716.000,57879.000,55525.000,52244.000,37266.000,52698.000,53402.000,71106.000,51706.000,82508.000,63536.000,46592.000,55435.000,87172.000,68428.000,54859.000,90113.000,71944.000,68194.000,72646.000,73468.000,63444.000,75232.000,133419.000,167264.000,235231.000,101995.000,246564.000,90683.000,259194.000,278162.000,337927.000,358049.000,452574.000,460266.000
2.01.01,Obrigações Sociais e Trabalhistas,3901.000,5265.000,6146.000,6318.000,4266.000,5718.000,6676.000,6907.000,7748.000,7015.000,8065.000,8949.000,7996.000,7138.000,8123.000,8852.000,8517.000,6889.000,8316.000,8691.000,7797.000,7008.000,7198.000,7411.000,5885.000,5908.000,6296.000,7096.000,6732.000,5817.000,6427.000,7063.000,6099.000,5766.000,6413.000,11823.000,11498.000,12227.000,15274.000,17510.000,13578.000,15361.000,15124.000,20740.000,20449.000,15462.000,17429.000,24845.000,23719.000,27022.000,20553.000,25303.000,28380.000,22400.000,23252.000,28625.000,32286.000,25704.000,28461.000,36571.000
2.01.02,Fornecedores,31770.000,38580.000,80460.000,56368.000,33937.000,62538.000,71301.000,49802.000,81404.000,77330.000,101719.000,81458.000,107949.000,38927.000,34927.000,45458.000,20460.000,16704.000,28697.000,11338.000,11020.000,8272.000,9589.000,8427.000,33701.000,15296.000,31787.000,14195.000,14840.000,12951.000,24088.000,22847.000,35566.000,14998.000,44765.000,25050.000,7608.000,9417.000,12232.000,11753.000,7811.000,30523.000,22137.000,18742.000,12776.000,15291.000,17407.000,19803.000,22948.000,23066.000,27957.000,29033.000,56823.000,24530.000,47647.000,35233.000,31154.000,71127.000,90796.000,97672.000
2.01.03,Obrigações Fiscais,5015.000,9837.000,15780.000,21062.000,7000.000,8296.000,9825.000,11652.000,6643.000,6158.000,12883.000,17268.000,7386.000,7178.000,10069.000,13329.000,6299.000,4837.000,7350.000,8601.000,5638.000,4597.000,6586.000,6746.000,6346.000,5996.000,9137.000,8605.000,5965.000,6972.000,7996.000,9311.000,7636.000,8678.000,13354.000,8033.000,3256.000,4081.000,6070.000,7423.000,4413.000,11647.000,13445.000,7798.000,8108.000,5248.000,9887.000,8782.000,6394.000,6300.000,5823.000,6211.000,8322.000,5113.000,11417.000,10739.000,5200.000,6786.000,9526.000,11068.000
2.01.04,Empréstimos e Financiamentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2811.000,838.000,866.000,1456.000,1438.000,3634.000,3707.000,7545.000,7926.000,8283.000,8280.000,4612.000,4690.000,24984.000,8823.000,5259.000,5223.000,5186.000,4562.000,5327.000,3117.000,2923.000,2829.000,49783.000,87937.000,148309.000,3670.000,127376.000,7574.000,148929.000,170558.000,216821.000,199727.000,262413.000,223669.000
2.01.05,Outras Obrigações,61291.000,10147.000,8927.000,12293.000,20266.000,13817.000,14051.000,22269.000,19870.000,22798.000,22813.000,17373.000,36785.000,30336.000,12437.000,12071.000,15113.000,15006.000,8052.000,45635.000,12493.000,10175.000,11943.000,9990.000,12737.000,11705.000,9821.000,24763.000,23251.000,10088.000,10553.000,10474.000,14260.000,14338.000,9693.000,10350.000,19618.000,25020.000,28612.000,22919.000,23798.000,27359.000,16052.000,16352.000,25986.000,34350.000,15798.000,18973.000,30575.000,22939.000,32589.000,37778.000,25663.000,31066.000,27949.000,33007.000,52466.000,54705.000,61378.000,91286.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,29832.000,29674.000,29503.000,29207.000,31046.000,30658.000,30853.000,35043.000,49957.000,44958.000,49226.000,49149.000,49058.000,48684.000,49045.000,48740.000,44754.000,44740.000,44646.000,44469.000,38289.000,38099.000,37979.000,36118.000,36482.000,36290.000,36600.000,36352.000,46413.000,46253.000,46610.000,46507.000,47182.000,47286.000,47682.000,47850.000,48355.000,49381.000,51014.000,51055.000,52326.000,54886.000,55271.000,52313.000,53057.000,61163.000,60305.000,57943.000,55737.000,54495.000,55304.000,53356.000,59572.000,63584.000,80885.000,108687.000,200329.000,273234.000,234529.000,251301.000
