cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,183476.000,326326.000,219462.000,253522.000,222650.000,261185.000,236155.000,219172.000,205170.000,175359.000,145918.000,286034.000,244797.000,326830.000,264673.000,298415.000,196383.000,224006.000,244027.000,200460.000,101384.000,147256.000,133969.000,114235.000,88081.000,107893.000,112606.000,112890.000,98822.000,130606.000,108523.000,151792.000,145762.000,176907.000,184402.000,245225.000,187596.000,261711.000,362489.000,271822.000,205084.000,199884.000,250720.000,335535.000,445366.000,539334.000,412047.000,462029.000,216116.000,461573.000,642355.000,654469.000,386555.000,534608.000,540432.000,918142.000,749893.000,845167.000,762967.000,765715.000,679836.000,759013.000,856091.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-156350.000,-283878.000,-186726.000,-217518.000,-187721.000,-222103.000,-200588.000,-184045.000,-171341.000,-147131.000,-119407.000,-247252.000,-212302.000,-283448.000,-224793.000,-259572.000,-164356.000,-188629.000,-206684.000,-167165.000,-78219.000,-116386.000,-107274.000,-92230.000,-67986.000,-83508.000,-86775.000,-90041.000,-73881.000,-102937.000,-83052.000,-125831.000,-118481.000,-149467.000,-154681.000,-210722.000,-155930.000,-221895.000,-317987.000,-250130.000,-170782.000,-171266.000,-207038.000,-287824.000,-387688.000,-475431.000,-359093.000,-396035.000,-170975.000,-399694.000,-567945.000,-572582.000,-323841.000,-475013.000,-470255.000,-817461.000,-664890.000,-752505.000,-672629.000,-661273.000,-588243.000,-662632.000,-747732.000
3.03,Resultado Bruto,27126.000,42448.000,32736.000,36004.000,34929.000,39082.000,35567.000,35127.000,33829.000,28228.000,26511.000,38782.000,32495.000,43382.000,39880.000,38843.000,32027.000,35377.000,37343.000,33295.000,23165.000,30870.000,26695.000,22005.000,20095.000,24385.000,25831.000,22849.000,24941.000,27669.000,25471.000,25961.000,27281.000,27440.000,29721.000,34503.000,31666.000,39816.000,44502.000,21692.000,34302.000,28618.000,43682.000,47711.000,57678.000,63903.000,52954.000,65994.000,45141.000,61879.000,74410.000,81887.000,62714.000,59595.000,70177.000,100681.000,85003.000,92662.000,90338.000,104442.000,91593.000,96381.000,108359.000
3.04,Despesas/Receitas Operacionais,-16970.000,-19856.000,-18890.000,-10776.000,-24586.000,-26168.000,-23903.000,-25551.000,-30393.000,-27267.000,-25096.000,14510.000,-27082.000,-34418.000,-26295.000,-31020.000,-23272.000,-33584.000,-27421.000,-40247.000,-27833.000,-28842.000,-26198.000,-24757.000,-26096.000,-31148.000,-31524.000,-30654.000,-25834.000,-28415.000,-24184.000,-33741.000,-23619.000,-28096.000,-21516.000,-27048.000,-22349.000,-26777.000,-25827.000,-6696.000,-20742.000,-13096.000,-17748.000,-25139.000,-22976.000,-20005.000,-29298.000,-32117.000,-23848.000,-16012.000,-34004.000,-36467.000,-28715.000,-23016.000,-37244.000,-44260.000,-37135.000,-27576.000,-38095.000,-58525.000,-49436.000,-42031.000,-49336.000
3.04.02,Despesas Gerais e Administrativas,-19681.000,-21316.000,-21587.000,-23301.000,-24264.000,-25124.000,-26333.000,-25458.000,-29357.000,-27226.000,-27615.000,-30933.000,-28960.000,-29054.000,-29527.000,-32790.000,-29813.000,-34443.000,-29923.000,-32935.000,-28093.000,-30471.000,-29325.000,-32012.000,-29339.000,-31057.000,-34023.000,-32463.000,-26414.000,-27483.000,-26874.000,-31040.000,-26485.000,-28241.000,-26519.000,-30029.000,-27664.000,-29154.000,-30200.000,-4225.000,-21260.000,-18685.000,-20981.000,-25587.000,-24761.000,-27915.000,-30718.000,-34188.000,-28228.000,-32473.000,-36254.000,-38671.000,-34225.000,-35660.000,-38161.000,-47008.000,-40949.000,-44385.000,-45817.000,-60714.000,-52998.000,-61499.000,-61659.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,-1783.000,-1007.000,-483.000,-1231.000,1547.000,-5841.000,-1943.000,-1466.000,-545.000,-1208.000,-435.000,-6401.000,-552.000,-1171.000,-286.000,-1036.000,-1677.000,-14782.000,-702.000,-848.000,-856.000,-1251.000,-1348.000,-2390.000,-1356.000,-2570.000,-1102.000,-2361.000,-1202.000,-5665.000,-1219.000,-1192.000,-217.000,2399.000,-477.000,-702.000,-1407.000,1693.000,-69.000,-517.000,-540.000,-1225.000,-2734.000,-2023.000,-414.000,-67.000,-1347.000,-1573.000,-24.000,-31.000,-749.000,-2154.000,-2591.000,-88.000,-700.000,-2162.000,-218.000,-548.000,-1289.000,-2343.000,-4123.000
3.04.06,Resultado de Equivalência Patrimonial,230.000,311.000,202.000,257.000,161.000,187.000,275.000,254.000,198.000,250.000,201.000,187.000,166.000,247.000,188.000,205.000,333.000,184.000,147.000,185.000,150.000,266.000,190.000,585.000,188.000,270.000,207.000,204.000,219.000,252.000,131.000,-116.000,30.000,-4.000,-4.000,-10.000,17.000,-10.000,-3.000,-8.000,4.000,31.000,-1.000,-6.000,-9.000,48.000,1.000,-14.000,19.000,53.000,23.000,23.000,20.000,21.000,61.000,23.000,20.000,494.000,126.000,30.000,31.000,34.000,23.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,10156.000,22592.000,13846.000,25228.000,10343.000,12914.000,11664.000,9576.000,3436.000,961.000,1415.000,53292.000,5413.000,8964.000,13585.000,7823.000,8755.000,1793.000,9922.000,-6952.000,-4668.000,2028.000,497.000,-2752.000,-6001.000,-6763.000,-5693.000,-7805.000,-893.000,-746.000,1287.000,-7780.000,3662.000,-656.000,8205.000,7455.000,9317.000,13039.000,18675.000,14996.000,13560.000,15522.000,25934.000,22572.000,34702.000,43898.000,23656.000,33877.000,21293.000,45867.000,40406.000,45420.000,33999.000,36579.000,32933.000,56421.000,47868.000,65086.000,52243.000,45917.000,42157.000,54350.000,59023.000
3.06,Resultado Financeiro,1409.000,240.000,2046.000,1835.000,3309.000,2342.000,6089.000,2530.000,3437.000,2428.000,2115.000,1224.000,724.000,-50.000,692.000,1076.000,1337.000,1215.000,1304.000,1621.000,2999.000,3241.000,2698.000,2277.000,1681.000,1461.000,1625.000,4158.000,856.000,896.000,1150.000,141.000,3346.000,647.000,393.000,333.000,-172.000,37.000,363.000,2355.000,-86.000,-325.000,-119.000,315.000,2014.000,2625.000,1936.000,2503.000,3954.000,3876.000,3219.000,1372.000,-89.000,-2749.000,-104.000,-312.000,-4314.000,-1064.000,-5263.000,-10025.000,-8570.000,-8208.000,-14206.000
3.06.01,Receitas Financeiras,3640.000,3896.000,4535.000,4080.000,4703.000,4730.000,8526.000,5280.000,4861.000,4111.000,3433.000,3246.000,2846.000,2873.000,3247.000,3641.000,3510.000,3445.000,3564.000,3535.000,3664.000,3894.000,3496.000,2762.000,1974.000,1969.000,2157.000,5006.000,1773.000,1413.000,1718.000,1169.000,3795.000,1154.000,890.000,1062.000,835.000,792.000,1040.000,3011.000,519.000,528.000,658.000,710.000,2469.000,2899.000,2232.000,2839.000,4559.000,4774.000,4001.000,2871.000,1804.000,9365.000,3270.000,3992.000,2109.000,8276.000,11950.000,11584.000,9396.000,8614.000,10415.000
